"","SAMPLE","SESSION","VEG","DAY","MONTH","YEAR","WEB","NIGHT","TRAP","CAPT","TAG","SPP","AGE","SEX","REPROD","WT","NOTES","Stapp.comments"
"20",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,15,"N",NA,"DIOR","A","F","N",59,"",NA
"21",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,38,"R",1026,"DIOR","A","M","R",NA,"",NA
"22",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,69,"R",NA,"DIOR","A","F",NA,NA,"",NA
"23",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,87,"R",NA,"DIOR","A","F",NA,NA,"",NA
"24",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,66,"N",1019,"ONLE","A","M","N",24,"",NA
"25",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,7,"N",NA,"ONLE","A","F","N",33,"",NA
"26",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,13,"N",NA,"ONLE","S","M","N",20,"",NA
"27",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,56,"R",NA,"ONLE",NA,NA,NA,31,"ESCAPED",NA
"28",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,90,"R",1021,"ONLE",NA,NA,NA,NA,"",NA
"29",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,100,"R",NA,"ONLE","A","M",NA,NA,"",NA
"30",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,120,"R",NA,"ONLE","A","M",NA,NA,"",NA
"31",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,116,"N",NA,"PEMA","J","M","N",10,"",NA
"32",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,96,"R",NA,"PEMA","A","M",NA,NA,"",NA
"33",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,115,"R",NA,"PEMA","A","M","N",NA,"",NA
"34",1,"Sep-94","GRASS",30,8,1994,"26NW",2,20,"N",NA,"ONLE","A","M","R",33,"",NA
"35",1,"Sep-94","GRASS",30,8,1994,"26NW",2,43,"N",NA,"REMO","A","F","N",13.5,"",NA
"36",1,"Sep-94","GRASS",30,8,1994,"27NE",2,29,"N",NA,"ONLE","A","F","R",26,"",NA
"37",1,"Sep-94","GRASS",30,8,1994,"27NE",2,85,"N",NA,"ONLE","A","F","N",26.5,"",NA
"38",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,99,"N",NA,"DIOR","A","M","R",70,"",NA
"39",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,9,"N",NA,"DIOR",NA,NA,NA,67,"",NA
"40",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,36,"R",NA,"DIOR",NA,NA,NA,NA,"",NA
"41",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,48,"R",1025,"DIOR",NA,NA,NA,NA,"",NA
"42",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,70,"R",NA,"DIOR",NA,"F",NA,NA,"",NA
"43",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,93,"R",NA,"DIOR",NA,NA,NA,NA,"",NA
"44",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,27,"R",NA,"ONLE","A","M","N",NA,"",NA
"45",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,42,"R",1019,"ONLE",NA,NA,NA,NA,"",NA
"46",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,43,"R",1004,"ONLE",NA,NA,NA,NA,"",NA
"47",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,5,"R",NA,"ONLE","A","F",NA,NA,"",NA
"48",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,119,"R",NA,"ONLE","A","M",NA,NA,"",NA
"49",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,11,"R",1021,"ONLE","A","F","N",NA,"",NA
"50",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,97,"N",NA,"PEMA","A","M","N",26,"",NA
"51",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,8,"N",NA,"PEMA","A","M","N",24,"",NA
"52",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,50,"R",1012,"PEMA",NA,NA,NA,NA,"",NA
"53",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,10,"R",NA,"PEMA","A","F","N",NA,"",NA
"54",1,"Sep-94","SHRUB",31,8,1994,"24NE",3,3,"R",NA,"PEMA","A","M","N",NA,"",NA
"55",1,"Sep-94","GRASS",31,8,1994,"26NW",3,105,"N",NA,"ONLE","A","M","R",24,"",NA
"56",1,"Sep-94","GRASS",31,8,1994,"26NW",3,17,"N",NA,"ONLE",NA,NA,NA,NA,"DIT-WEASEL?- NO NIGHT 4 CAPT",NA
"57",1,"Sep-94","GRASS",31,8,1994,"27NE",3,27,"N",NA,"ONLE","A","F","N",28,"",NA
"58",1,"Sep-94","GRASS",31,8,1994,"27NE",3,80,"N",NA,"ONLE","A","F","N",25,"",NA
"59",1,"Sep-94","GRASS",31,8,1994,"27NE",3,54,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"60",1,"Sep-94","GRASS",31,8,1994,"27NE",3,78,"N",NA,"PEMA","A","M","N",21,"",NA
"61",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,89,"N",NA,"DIOR","A","F","N",61.5,"",NA
"62",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,17,"R",NA,"DIOR","A","F","N",NA,"",NA
"63",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,49,"R",NA,"DIOR","A","F","N",NA,"",NA
"64",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,67,"R",NA,"DIOR","A","F","N",NA,"",NA
"65",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,19,"R",NA,"ONLE","S","M","N",NA,"",NA
"66",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,43,"R",1001,"ONLE","A","M","N",NA,"",NA
"67",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,56,"R",1019,"ONLE","A","M","N",NA,"",NA
"68",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,80,"R",1021,"ONLE","A","F","N",NA,"",NA
"69",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,99,"R",1004,"ONLE","A","M","N",NA,"",NA
"70",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,120,"R",NA,"ONLE","A","M","N",NA,"",NA
"71",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,10,"R",NA,"PEMA","A","M","N",NA,"",NA
"72",1,"Sep-94","SHRUB",1,9,1994,"24NE",4,104,"R",NA,"PEMA","A","M","N",NA,"",NA
"73",1,"Sep-94","GRASS",1,9,1994,"27NE",4,64,"N",NA,"ONLE","A","F","R",24,"",NA
"74",1,"Sep-94","GRASS",1,9,1994,"27NE",4,87,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"75",1,"Sep-94","GRASS",1,9,1994,"27NE",4,80,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"76",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,5,"N",NA,"DIOR","A","F","N",63,"",NA
"77",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,36,"N",NA,"DIOR","A","F","N",67,"",NA
"78",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,38,"N",481,"DIOR","A","F","N",79,"",NA
"79",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,28,"N",NA,"ONLE","A","F","N",32,"",NA
"80",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,88,"N",485,"ONLE","A","F","N",30,"",NA
"81",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,49,"N",NA,"ONLE","A","F","N",34,"",NA
"82",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,43,"N",NA,"ONLE","A","M","N",32,"",NA
"83",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,31,"N",NA,"ONLE","A","F","N",27,"",NA
"84",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,35,"N",NA,"ONLE","A","F","N",25,"",NA
"85",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,29,"N",NA,"PEMA","A","M","N",16,"",NA
"86",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,18,"N",475,"PEMA","A","M","N",32,"",NA
"87",1,"Sep-94","SHRUB",5,9,1994,"13NE",1,70,"N",NA,"PEMA","A","M","N",21,"",NA
"88",1,"Sep-94","SHRUB",5,9,1994,"13NW",1,26,"N",NA,"ONLE","S","F","N",22.5,"",NA
"89",1,"Sep-94","SHRUB",5,9,1994,"13NW",1,25,"N",NA,"ONLE","A","M","N",32,"",NA
"90",1,"Sep-94","SHRUB",5,9,1994,"13NW",1,24,"N",NA,"ONLE","A","F","R",29.5,"",NA
"91",1,"Sep-94","SHRUB",5,9,1994,"13NW",1,53,"N",NA,"ONLE","A","M","N",30.5,"",NA
"92",1,"Sep-94","SHRUB",5,9,1994,"13NW",1,6,"N",NA,"PEMA","A","F","N",21,"",NA
"93",1,"Sep-94","SHRUB",5,9,1994,"13NW",1,107,"N",NA,"PEMA","A","F","N",15,"",NA
"94",1,"Sep-94","SHRUB",5,9,1994,"13NW",1,74,"N",NA,"PEMA","A","M","N",19,"",NA
"95",1,"Sep-94","SHRUB",5,9,1994,"13NW",1,75,"N",NA,"PEMA","A","M","N",16,"",NA
"96",1,"Sep-94","GRASS",5,9,1994,"25NE",1,56,"N",NA,"ONLE","S","M","N",23,"",NA
"97",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,46,"N",NA,"DIOR","A","M","N",75,"",NA
"98",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,6,"R",NA,"DIOR",NA,NA,NA,NA,"",NA
"99",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,5,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"100",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,114,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"101",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,86,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"102",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,52,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"103",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,39,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"104",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,63,"N",NA,"PEMA","A","M","N",16,"",NA
"105",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,70,"R",NA,"PEMA",NA,NA,NA,NA,"",NA
"106",1,"Sep-94","SHRUB",6,9,1994,"13NE",2,124,"N",NA,"REME","A","M","N",10,"",NA
"107",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,34,"N",NA,"DIOR","A","F","N",65,"",NA
"108",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,19,"N",NA,"DIOR","A","F","N",54,"",NA
"109",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,43,"N",NA,"ONLE","S","M","N",21,"",NA
"110",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,40,"R",NA,"ONLE","A","F","N",NA,"",NA
"111",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,45,"R",NA,"ONLE","A","F","N",NA,"",NA
"112",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,44,"R",NA,"ONLE","A","M","R",NA,"",NA
"113",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,29,"R",NA,"ONLE","A","M","N",NA,"",NA
"114",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,64,"N",NA,"PEMA","A","F","R",NA,"",NA
"115",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,90,"N",NA,"PEMA","S","M","N",14.5,"",NA
"116",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,60,"R",NA,"PEMA","A","M","N",NA,"",NA
"117",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,114,"R",263,"PEMA","A","M","N",NA,"",NA
"118",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,49,"N",NA,"REME","A","M","N",7,"",NA
"119",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,54,"N",NA,"REME","A","M","N",7.5,"",NA
"120",1,"Sep-94","SHRUB",6,9,1994,"13NW",2,4,"N",NA,"REME","A","F","N",15,"",NA
"121",1,"Sep-94","GRASS",6,9,1994,"25NE",2,15,"N",NA,"ONLE","A","M","N",26.5,"",NA
"122",1,"Sep-94","GRASS",6,9,1994,"25NE",2,56,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"123",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,6,"R",NA,"DIOR",NA,"F",NA,NA,"",NA
"124",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,46,"R",NA,"DIOR",NA,"M",NA,NA,"",NA
"125",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,60,"N",NA,"ONLE","S","M","N",26,"",NA
"126",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,39,"N",NA,"ONLE","A","M","N",26,"",NA
"127",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,5,"R",475,"ONLE",NA,NA,NA,NA,"",NA
"128",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,106,"R",485,"ONLE",NA,NA,NA,NA,"",NA
"129",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,64,"R",NA,"ONLE",NA,"M",NA,NA,"",NA
"130",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,45,"R",NA,"ONLE",NA,"F",NA,NA,"",NA
"131",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,33,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"132",1,"Sep-94","SHRUB",7,9,1994,"13NE",3,35,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"133",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,12,"N",NA,"DIOR","A","F","N",73,"",NA
"134",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,24,"R",NA,"ONLE","A","M","N",NA,"",NA
"135",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,29,"R",NA,"ONLE","A","F","N",NA,"",NA
"136",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,17,"R",NA,"ONLE","A","M",NA,NA,"",NA
"137",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,75,"R",NA,"ONLE","A","F","N",NA,"",NA
"138",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,58,"R",NA,"ONLE","A","M",NA,NA,"",NA
"139",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,103,"N",NA,"PEMA","S","M","N",16,"",NA
"140",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,88,"N",NA,"PEMA","A","M","N",18,"",NA
"141",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,90,"N",NA,"PEMA","A","M","N",18,"",NA
"142",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,80,"N",NA,"PEMA","A","M","N",23,"",NA
"143",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,45,"N",NA,"PEMA","A","M","N",16,"",NA
"144",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,98,"R",NA,"PEMA",NA,"F",NA,NA,"",NA
"145",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,74,"R",NA,"PEMA","A","F",NA,NA,"",NA
"146",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,55,"R",NA,"PEMA","A","M",NA,NA,"",NA
"147",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,39,"N",NA,"REME","A","F","N",12,"",NA
"148",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,37,"N",NA,"REME","A","F","N",13,"",NA
"149",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,78,"N",NA,"REME","A","M","N",11,"",NA
"150",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,73,"N",NA,"REME","A","M","N",10,"",NA
"151",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,47,"N",NA,"REME","A","F","R",13,"",NA
"152",1,"Sep-94","SHRUB",7,9,1994,"13NW",3,60,"N",NA,"REME","A","F","N",13,"",NA
"153",1,"Sep-94","GRASS",7,9,1994,"25NE",3,18,"N",NA,"ONLE","A","F","N",27,"",NA
"154",1,"Sep-94","GRASS",7,9,1994,"25NE",3,11,"N",NA,"PEFL","A","M","N",9,"",NA
"155",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,40,"N",478,"DIOR","A","F","N",80,"",NA
"156",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,58,"N",NA,"DIOR","S","F","N",48,"",NA
"157",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,5,"R",NA,"DIOR",NA,"M",NA,NA,"",NA
"158",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,3,"R",481,"DIOR",NA,NA,NA,NA,"",NA
"159",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,73,"N",NA,"ONLE","J","F","N",22,"",NA
"160",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,35,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"161",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,46,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"162",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,50,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"163",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,64,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"164",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,70,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"165",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,98,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"166",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,12,"R",475,"ONLE",NA,NA,NA,NA,"",NA
"167",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,6,"R",NA,"ONLE",NA,"F",NA,NA,"",NA
"168",1,"Sep-94","SHRUB",8,9,1994,"13NE",4,30,"N",NA,"PEMA","A","M","N",17,"",NA
"169",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,80,"N",NA,"DIOR","A","F","N",53,"",NA
"170",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,48,"N",NA,"DIOR","A","F","N",63,"",NA
"171",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,34,"R",NA,"DIOR","A","F",NA,NA,"",NA
"172",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,33,"R",NA,"ONLE","A","F",NA,NA,"",NA
"173",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,17,"R",NA,"ONLE","A","M",NA,NA,"",NA
"174",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,9,"R",NA,"ONLE","A","F",NA,NA,"",NA
"175",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,43,"R",NA,"ONLE","A","F",NA,NA,"",NA
"176",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,7,"N",NA,"PEMA","A","M","N",26,"",NA
"177",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,86,"N",NA,"PEMA","A","M","N",17,"",NA
"178",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,73,"N",NA,"PEMA","S","F","N",14,"",NA
"179",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,37,"R",NA,"PEMA","A","F",NA,NA,"",NA
"180",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,88,"R",NA,"PEMA","A","M","N",NA,"",NA
"181",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,90,"R",NA,"PEMA","S","M",NA,NA,"",NA
"182",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,79,"R",NA,"PEMA","A","M","N",NA,"",NA
"183",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,74,"R",NA,"PEMA","A","F",NA,NA,"",NA
"184",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,46,"R",NA,"PEMA","A","M",NA,NA,"",NA
"185",1,"Sep-94","SHRUB",8,9,1994,"13NW",4,49,"R",NA,"REME","A",NA,NA,NA,"",NA
"186",1,"Sep-94","GRASS",8,9,1994,"25NE",4,16,"N",NA,"ONLE","A","F","N",24.5,"",NA
"187",1,"Sep-94","GRASS",8,9,1994,"25NE",4,10,"N",NA,"ONLE","A","M","N",24,"",NA
"188",1,"Sep-94","GRASS",8,9,1994,"25NE",4,70,"R",NA,"ONLE",NA,NA,NA,NA,"",NA
"189",1,"Sep-94","GRASS",8,9,1994,"25NE",4,3,"N",NA,"PEFL","A","F","N",7,"",NA
"190",2,"May-95","SHRUB",24,4,1995,"24NE",1,7,"N",NA,"DIOR","A","F","N",85,"",NA
"191",2,"May-95","SHRUB",24,4,1995,"24NE",1,6,"N",NA,"DIOR","A","M","R",72,"",NA
"192",2,"May-95","SHRUB",24,4,1995,"24NE",1,98,"N",NA,"DIOR","A","F","R",70.5,"",NA
"193",2,"May-95","SHRUB",24,4,1995,"24NE",1,25,"N",NA,"DIOR","A","F","R",66,"",NA
"194",2,"May-95","SHRUB",24,4,1995,"24NE",1,85,"N",NA,"DIOR","A","F","R",61.5,"",NA
"195",2,"May-95","SHRUB",24,4,1995,"24NE",1,37,"N",NA,"ONLE","A","F","R",41,"",NA
"196",2,"May-95","SHRUB",24,4,1995,"24NE",1,58,"N",NA,"PEMA","A","M","N",26,"",NA
"197",2,"May-95","SHRUB",24,4,1995,"24NE",1,27,"N",NA,"PEMA","A","M","N",21,"",NA
"198",2,"May-95","SHRUB",24,4,1995,"24NE",1,69,"N",NA,"PEMA","A","F","N",21.5,"",NA
"199",2,"May-95","SHRUB",24,4,1995,"24NE",1,81,"N",NA,"PEMA","A","M","N",24,"",NA
"200",2,"May-95","SHRUB",24,4,1995,"24NE",1,83,"N",NA,"PEMA","A","F","N",20,"",NA
"201",2,"May-95","SHRUB",25,4,1995,"24NE",2,10,"N",NA,"DIOR","A","M","R",76,"",NA
"202",2,"May-95","SHRUB",25,4,1995,"24NE",2,120,"N",NA,"DIOR","A","F","N",81,"",NA
"203",2,"May-95","SHRUB",25,4,1995,"24NE",2,36,"N",NA,"DIOR","A","F","N",70,"",NA
"204",2,"May-95","SHRUB",25,4,1995,"24NE",2,100,"N",NA,"DIOR","A","M","N",67,"",NA
"205",2,"May-95","SHRUB",25,4,1995,"24NE",2,84,"R",NA,"DIOR","A","F","N",NA,"",NA
"206",2,"May-95","SHRUB",25,4,1995,"24NE",2,8,"R",NA,"DIOR","A","F","R",NA,"",NA
"207",2,"May-95","SHRUB",25,4,1995,"24NE",2,90,"R",NA,"DIOR","A","F","N",69,"",NA
"208",2,"May-95","SHRUB",25,4,1995,"24NE",2,14,"R",NA,"DIOR","A","F","R",NA,"",NA
"209",2,"May-95","SHRUB",25,4,1995,"24NE",2,110,"R",NA,"DIOR","A","F",NA,NA,"",NA
"210",2,"May-95","SHRUB",25,4,1995,"24NE",2,29,"N",NA,"PEMA","A","F","N",NA,"",NA
"211",2,"May-95","SHRUB",25,4,1995,"24NE",2,96,"N",NA,"PEMA","A","M","R",20,"",NA
"212",2,"May-95","SHRUB",25,4,1995,"24NE",2,71,"R",NA,"PEMA","A","M","N",NA,"",NA
"213",2,"May-95","SHRUB",25,4,1995,"24NE",2,83,"R",NA,"PEMA","A","M","N",19.5,"",NA
"214",2,"May-95","SHRUB",25,4,1995,"24NE",2,58,"R",NA,"PEMA","A","F","N",NA,"",NA
"215",2,"May-95","SHRUB",25,4,1995,"24NE",2,20,"R",NA,"PEMA","A","M","R",NA,"",NA
"216",2,"May-95","GRASS",25,4,1995,"26NW",2,73,"N",NA,"ONLE","A","F","R",35,"",NA
"217",2,"May-95","GRASS",25,4,1995,"27NE",3,68,"N",NA,"ONLE","A","F","R",37,"",NA
"218",2,"May-95","GRASS",25,4,1995,"27NE",3,93,"N",NA,"ONLE","A","M","N",36,"",NA
"219",2,"May-95","GRASS",25,4,1995,"27NE",3,83,"N",NA,"PEMA","A","F","N",22,"",NA
"220",2,"May-95","GRASS",25,4,1995,"27NE",3,103,"N",NA,"SPTR","A","M","N",NA,"",NA
"221",2,"May-95","GRASS",25,4,1995,"27NE",3,1,"N",NA,"THTA","A","M","R",NA,"",NA
"222",2,"May-95","SHRUB",26,4,1995,"24NE",3,58,"N",NA,"DIOR","A","F","N",67,"",NA
"223",2,"May-95","SHRUB",26,4,1995,"24NE",3,38,"R",NA,"DIOR","A","M","R",NA,"",NA
"224",2,"May-95","SHRUB",26,4,1995,"24NE",3,121,"R",NA,"DIOR","A","F","N",NA,"",NA
"225",2,"May-95","SHRUB",26,4,1995,"24NE",3,119,"R",NA,"DIOR","A","F","N",NA,"",NA
"226",2,"May-95","SHRUB",26,4,1995,"24NE",3,108,"R",NA,"DIOR","A","F","R",NA,"",NA
"227",2,"May-95","SHRUB",26,4,1995,"24NE",3,96,"R",NA,"DIOR","A","F","N",NA,"",NA
"228",2,"May-95","SHRUB",26,4,1995,"24NE",3,36,"R",NA,"ONLE","A","F","N",NA,"",NA
"229",2,"May-95","SHRUB",26,4,1995,"24NE",3,20,"N",NA,"PEMA","J","M","N",20,"",NA
"230",2,"May-95","SHRUB",26,4,1995,"24NE",3,9,"N",NA,"PEMA","A","M","N",24,"",NA
"231",2,"May-95","SHRUB",26,4,1995,"24NE",3,105,"N",NA,"PEMA","A","M","N",22,"",NA
