"","SAMPLE","SESSION","VEG","DAY","MONTH","YEAR","WEB","NIGHT","TRAP","CAPT","TAG","SPP","AGE","SEX","REPROD","WT","NOTES","Stapp.comments"
"1",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,30,"N",NA,"DIOR","A","M","N",65,"",NA
"2",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,39,"N",1026,"DIOR","A","M","N",52,"",NA
"3",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,48,"N",1025,"DIOR","A","F","N",84,"",NA
"4",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,57,"N",NA,"DIOR","A","M","N",86,"",NA
"5",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,84,"N",NA,"DIOR","S","F","N",58,"",NA
"6",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,100,"N",NA,"DIOR","A",NA,NA,NA,"ESCAPED",NA
"7",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,43,"N",NA,"ONLE","A","M",NA,27,"",NA
"8",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,36,"N",1001,"ONLE","A","M","N",32,"",NA
"9",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,101,"N",1021,"ONLE","A","F","N",29,"",NA
"10",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,106,"N",1004,"ONLE","A","M","N",32,"",NA
"11",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,107,"N",NA,"ONLE","A","F","N",33,"",NA
"12",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,108,"N",NA,"ONLE","A","M","N",27,"",NA
"13",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,40,"N",1012,"PEMA","A","M","N",24,"",NA
"14",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,95,"N",NA,"PEMA","A","M","N",17,"",NA
"15",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,113,"N",NA,"PEMA","A","M","N",19,"",NA
"16",1,"Sep-94","SHRUB",29,8,1994,"24NE",1,110,"N",NA,"PEMA","A","F","N",18,"",NA
"17",1,"Sep-94","GRASS",29,8,1994,"26NW",1,13,"N",NA,"PEMA","A","M","N",22,"",NA
"18",1,"Sep-94","GRASS",29,8,1994,"27NE",1,87,"N",NA,"ONLE","A","F","N",28.5,"",NA
"19",1,"Sep-94","SHRUB",30,8,1994,"24NE",2,48,"N",1002,"DIOR","A","M","R",84,"",NA
