Year	Site	Total	Cnemnidophorous_sexlineatus	Crotaphytus_collaris	Eumeces_obsoletus	Ophisaurus_attenuatus	Phrynosoma_cornutum	Scincella_lateralis
1989	CowleyCounty	10	0	6	3	0	1	0
1990	CowleyCounty	15	0	7	2	4	0	2
1991	CowleyCounty	-99	-99	-99	-99	-99	-99	-99
1992	CowleyCounty	7	0	3	2	0	0	2
1993	CowleyCounty	18	1	3	11	2	0	1
1994	CowleyCounty	10	0	0	9	1	0	0
1995	CowleyCounty	17	0	3	12	2	0	0
1996	CowleyCounty	9	0	5	3	1	0	0
1997	CowleyCounty	16	0	4	5	7	0	0
1998	CowleyCounty	19	0	5	6	6	1	1
1999	CowleyCounty	19	0	4	13	0	0	2
2000	CowleyCounty	48	1	3	36	3	0	5
2001	CowleyCounty	30	0	4	22	1	0	3
2002	CowleyCounty	21	0	5	12	2	0	2
2003	CowleyCounty	20	1	6	12	1	0	0
