species_id,aou,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species
135,3130,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,Patagioenas,flavirostris
136,3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata
139,3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Streptopelia roseogrisea,Columbiformes,Columbidae,Streptopelia,roseogrisea
141,22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto
142,3151,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,Columbiformes,Columbidae,Streptopelia,chinensis
143,3210,Inca Dove,Colombe inca,Columbina inca,Columbiformes,Columbidae,Columbina,inca
144,3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina
146,3201,Ruddy Ground-Dove,Colombe rousse,Columbina talpacoti,Columbiformes,Columbidae,Columbina,talpacoti
151,3180,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,Leptotila,verreauxi
157,3190,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,Columbiformes,Columbidae,Zenaida,asiatica
159,3160,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura
165,3870,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Cuculiformes,Cuculidae,Coccyzus,americanus
166,3860,Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,Cuculiformes,Cuculidae,Coccyzus,minor
