"id_species","genus","species","genus_species"
2709,"Chaetodipus","penicillatus","Chaetodipus penicillatus"
2879,"Dipodomys","merriami","Dipodomys merriami"
2880,"Dipodomys","ordii","Dipodomys ordii"
2882,"Dipodomys","spectabilis","Dipodomys spectabilis"
3203,"Neotoma","albigula","Neotoma albigula"
3204,"Neotoma","micropus","Neotoma micropus"
3232,"Onychomys","arenicola","Onychomys arenicola"
3233,"Onychomys","leucogaster","Onychomys leucogaster"
3289,"Perognathus","flavus","Perognathus flavus"
3290,"Peromyscus","boylii","Peromyscus boylii"
3292,"Peromyscus","eremicus","Peromyscus eremicus"
3293,"Peromyscus","leucopus","Peromyscus leucopus"
3294,"Peromyscus","maniculatus","Peromyscus maniculatus"
3295,"Peromyscus","sp","Peromyscus sp"
3434,"Reithrodontomys","megalotis","Reithrodontomys megalotis"
3481,"Sigmodon","hispidus","Sigmodon hispidus"
3486,"Spermophilus","spilosoma","Spermophilus spilosoma"
42829,"Mus","musculus","Mus musculus"
43129,"Dipodomys","sp","Dipodomys sp"
