Ref	Date	Time	CONTROL	TOTAL	BULLS	CALVES	Notes	Latitude	Longitude
76	2009/03/19	11:30:48	Kudu	3				-32.194723	22.086290
77	2009/03/19	11:31:00	Kudu	2	2			-32.195653	22.088790
78	2009/03/19	11:31:08	Kudu	1	1			-32.196278	22.090705
79	2009/03/19	11:31:44	Black Rhino	1	1			-32.198915	22.094450
80	2009/03/19	11:31:51	Kudu	1		1		-32.198862	22.092815
81	2009/03/19	11:32:49	Kudu	2				-32.200742	22.096883
82	2009/03/19	11:33:04	Kudu	8				-32.202885	22.098028
83	2009/03/19	11:33:49	Kudu	1				-32.209620	22.106202
84	2009/03/19	11:34:02	Kudu	1	1			-32.211855	22.106120
85	2009/03/19	11:34:48	Kudu	1				-32.214760	22.113600
86	2009/03/19	11:34:55	Kudu	4				-32.214967	22.114807
87	2009/03/19	11:35:09	Kudu	5	2			-32.215170	22.116922
88	2009/03/19	11:35:18	Kudu	1				-32.216593	22.117805
89	2009/03/19	11:36:05	Kudu	10		2		-32.221407	22.124103
90	2009/03/19	11:36:15	Kudu	6		2		-32.222188	22.125792
91	2009/03/19	11:36:22	Kudu	1	1			-32.222768	22.126953
92	2009/03/19	11:36:45	Duiker	2				-32.226080	22.128313
93	2009/03/19	11:38:16	Springbok	1				-32.248580	22.117898
94	2009/03/19	11:39:39	Kudu	2				-32.229330	22.100040
95	2009/03/19	11:40:16	Springbok	1				-32.227452	22.111420
96	2009/03/19	11:42:45	Red Hartebeest	1	1			-32.238075	22.141828
97	2009/03/19	11:43:02	Kudu	2	1			-32.240870	22.144315
98	2009/03/19	11:43:30	Kudu	2		1		-32.247167	22.146237
99	2009/03/19	11:43:43	Kudu	4				-32.249518	22.147347
100	2009/03/19	11:44:34	Red Hartebeest	1	1			-32.249337	22.141765
101	2009/03/19	11:47:28	Kudu	3	3			-32.255622	22.137683
102	2009/03/19	11:47:34	Jackal	1				-32.256683	22.139428
103	2009/03/19	11:48:15	Red Hartebeest	3		1		-32.264225	22.148817
104	2009/03/19	11:48:38	Gemsbok	1				-32.268938	22.152860
105	2009/03/19	11:49:25	Red Hartebeest	2				-32.270008	22.140283
106	2009/03/19	11:49:30	Gemsbok	1				-32.271342	22.140877
107	2009/03/19	11:49:34	Red Hartebeest	2				-32.272285	22.141050
108	2009/03/19	11:50:25	Kudu	4				-32.272970	22.131137
109	2009/03/19	11:51:05	Kudu	1	1			-32.260238	22.130117
110	2009/03/19	11:51:27	Kudu	1	1			-32.255977	22.126127
111	2009/03/19	11:51:54	Kudu	3	3			-32.264302	22.126065
112	2009/03/19	11:53:16	Red Hartebeest	5	5			-32.267083	22.113555
113	2009/03/19	11:53:26	Red Hartebeest	15				-32.265713	22.110400
114	2009/03/19	11:54:01	Gemsbok	1	1			-32.274728	22.111403
115	2009/03/19	11:54:07	Red Hartebeest	1	1			-32.276268	22.111895
116	2009/03/19	13:13:10	Klipspringer	2				-32.165240	22.103283
117	2009/03/19	13:17:49	Klipspringer	2				-32.159880	22.089543
118	2009/03/19	13:18:55	Klipspringer	2				-32.160213	22.075773
119	2009/03/19	13:19:08	Klipspringer	2				-32.161347	22.079368
120	2009/03/19	13:20:27	Klipspringer	2				-32.170522	22.068597
121	2009/03/19	13:20:49	Klipspringer	2				-32.165197	22.070178
122	2009/03/19	13:23:03	Klipspringer	3				-32.170480	22.067350
123	2009/03/19	13:24:58	Klipspringer	3				-32.160140	22.089695
124	2009/03/19	13:25:08	Klipspringer	2				-32.157698	22.090135
125	2009/03/19	13:26:51	Klipspringer	3				-32.158300	22.098025
126	2009/03/19	13:28:09	Kudu	3				-32.170588	22.080988
127	2009/03/19	13:30:11	Klipspringer	2				-32.172722	22.055675
128	2009/03/19	13:32:17	Kudu	4		1		-32.170057	22.085818
129	2009/03/19	13:34:19	Klipspringer	2				-32.171985	22.089207
130	2009/03/19	13:34:45	Baboon	32				-32.179050	22.083855
131	2009/03/19	13:35:46	Klipspringer	1				-32.179352	22.062470
132	2009/03/19	13:36:37	Baboon	15				-32.182963	22.061008
133	2009/03/19	13:36:44	Klipspringer	1				-32.184212	22.062687
134	2009/03/19	13:36:54	Klipspringer	2				-32.182920	22.065718
135	2009/03/19	13:37:40	Kudu	2				-32.185568	22.078942
136	2009/03/19	13:38:49	Klipspringer	2				-32.171288	22.092460
137	2009/03/19	13:39:37	Klipspringer	2				-32.171565	22.105252
138	2009/03/19	13:40:01	Klipspringer	2				-32.169697	22.112313
139	2009/03/19	13:43:17	Klipspringer	2				-32.176090	22.100562
140	2009/03/19	13:45:06	Kudu	1	1			-32.179813	22.122287
141	2009/03/19	13:45:19	Kudu	5				-32.175878	22.122963
142	2009/03/19	13:46:11	Steenbok	1				-32.178575	22.127977
143	2009/03/19	13:47:04	Klipspringer	1				-32.183413	22.120398
144	2009/03/19	13:47:46	Klipspringer	1				-32.179930	22.107087
145	2009/03/19	13:48:58	Klipspringer	1				-32.179313	22.091440
146	2009/03/19	13:51:54	Baboon	24				-32.191930	22.125475
147	2009/03/19	13:56:17	Kudu	1				-32.194758	22.101433
148	2009/03/19	13:57:01	Red Hartebeest	1	1			-32.193107	22.108018
149	2009/03/19	13:57:50	Klipspringer	1				-32.200668	22.110755
150	2009/03/19	14:10:54	Klipspringer	2				-32.144905	22.180553
151	2009/03/19	14:13:55	Klipspringer	1				-32.136363	22.214235
152	2009/03/19	14:14:12	Grey rhebok	3				-32.137162	22.209390
153	2009/03/19	14:18:08	Klipspringer	4				-32.165117	22.150058
154	2009/03/19	14:18:37	Klipspringer	2				-32.172028	22.148110
155	2009/03/19	14:22:36	Baboon	15				-32.151385	22.180513
156	2009/03/19	14:25:22	Kudu	3	1			-32.144510	22.232483
157	2009/03/19	14:25:33	Jackal	2				-32.146572	22.229310
158	2009/03/19	14:25:45	Ostrich	3				-32.147390	22.225392
159	2009/03/19	14:27:10	 Mtn zebra	1				-32.155047	22.195685
160	2009/03/19	14:28:11	Kudu	2				-32.163460	22.175330
161	2009/03/19	14:28:48	Ostrich	4	1			-32.166707	22.161757
162	2009/03/19	14:30:28	Grey rhebok	5				-32.180920	22.151827
163	2009/03/19	14:32:47	Ostrich	4				-32.170928	22.166703
164	2009/03/19	14:33:02	Red Hartebeest	1				-32.168315	22.172632
165	2009/03/19	14:35:33	Ostrich	3				-32.149310	22.227077
166	2009/03/19	14:36:16	Red Hartebeest	2				-32.146368	22.239405
167	2009/03/19	14:37:31	Baboon	5				-32.148423	22.241338
168	2009/03/19	14:40:47	Kudu	4		2		-32.151145	22.230078
169	2009/03/19	14:40:53	Baboon	2				-32.150842	22.229000
170	2009/03/19	14:41:01	Kudu	5				-32.151498	22.227983
171	2009/03/19	14:42:54	Kudu	8	1			-32.160783	22.209900
172	2009/03/19	14:42:59	Kudu	2				-32.161218	22.209123
173	2009/03/19	14:43:53	Red Hartebeest	1				-32.166390	22.201125
174	2009/03/19	14:44:33	Mt Reedbuck	1				-32.174133	22.195792
175	2009/03/19	14:46:29	Kudu	5		2		-32.197850	22.185342
176	2009/03/19	14:46:40	Kudu	9		2		-32.199608	22.186142
177	2009/03/19	14:46:58	Kudu	3				-32.202827	22.186410
178	2009/03/19	14:47:23	Kudu	10	3			-32.204777	22.186402
179	2009/03/19	14:47:46	Red Hartebeest	2	2			-32.207153	22.178922
180	2009/03/19	14:50:37	 Mtn zebra	8		2		-32.183723	22.162335
181	2009/03/19	14:51:35	Red Hartebeest	1	1			-32.172045	22.179045
182	2009/03/19	14:52:13	Red Hartebeest	1				-32.170122	22.191705
183	2009/03/19	14:54:07	Red Hartebeest	14		4		-32.195273	22.164078
184	2009/03/19	14:54:22	 Mtn zebra	5				-32.197863	22.159998
185	2009/03/19	14:55:31	Gemsbok	1				-32.200448	22.169710
186	2009/03/20	08:00:10	Klipspringer	2				-32.215167	22.544400
187	2009/03/20	08:02:13	 Mtn zebra	5				-32.230523	22.530045
188	2009/03/20	08:02:37	Red Hartebeest	1				-32.236552	22.527180
189	2009/03/20	08:02:47	Mt Reedbuck	4				-32.238378	22.526238
190	2009/03/20	08:02:52	Red Hartebeest	7				-32.239360	22.525638
191	2009/03/20	08:02:57	Grey rhebok	2				-32.240403	22.524862
192	2009/03/20	08:03:31	Grey rhebok	2				-32.247610	22.517975
193	2009/03/20	08:05:47	Klipspringer	2				-32.253612	22.520008
194	2009/03/20	08:06:03	Mt Reedbuck	4				-32.250283	22.517338
195	2009/03/20	08:06:08	Gemsbok	1				-32.249153	22.518095
196	2009/03/20	08:06:25	Grey rhebok	1				-32.245588	22.520750
197	2009/03/20	08:06:30	Klipspringer	2				-32.244685	22.521600
198	2009/03/20	08:10:06	Klipspringer	2				-32.208765	22.552997
199	2009/03/20	08:11:20	 Mtn zebra	4		1		-32.226680	22.550735
200	2009/03/20	08:14:47	Klipspringer	2				-32.261877	22.520348
201	2009/03/20	08:14:57	Klipspringer	3				-32.263940	22.520812
202	2009/03/20	08:15:33	Kudu	1	1			-32.257210	22.525168
203	2009/03/20	08:16:11	Grey rhebok	3				-32.247080	22.529530
204	2009/03/20	08:17:03	Gemsbok	1				-32.244327	22.546233
205	2009/03/20	08:17:11	 Mtn zebra	6		1		-32.241722	22.545832
206	2009/03/20	08:17:18	Grey rhebok	3				-32.239588	22.545560
207	2009/03/20	08:17:47	 Mtn zebra	3				-32.231803	22.544212
208	2009/03/20	08:17:52	Kudu	4				-32.230547	22.543910
209	2009/03/20	08:18:10	Klipspringer	2				-32.229377	22.547980
210	2009/03/20	08:24:25	Kudu	1	1			-32.233173	22.555822
211	2009/03/20	08:25:21	 Mtn zebra	5		1		-32.244828	22.551050
212	2009/03/20	08:26:16	 Mtn zebra	2				-32.250418	22.535473
213	2009/03/20	08:29:49	Kudu	7				-32.259973	22.568158
214	2009/03/20	08:30:34	Kudu	1				-32.250832	22.559132
215	2009/03/20	08:31:43	Gemsbok	1				-32.248523	22.544712
216	2009/03/20	08:31:52	 Mtn zebra	10		1		-32.250968	22.541847
217	2009/03/20	08:32:00	Grey rhebok	8				-32.253128	22.539100
218	2009/03/20	08:32:54	 Mtn zebra	2				-32.265880	22.520502
219	2009/03/20	08:33:04	Mt Reedbuck	5		1		-32.268003	22.519497
220	2009/03/20	08:33:14	Klipspringer	3				-32.269910	22.520440
221	2009/03/20	08:36:07	Gemsbok	15		2		-32.269172	22.529157
222	2009/03/20	08:37:05	Gemsbok	11				-32.282203	22.522288
223	2009/03/20	08:38:26	Klipspringer	2				-32.269570	22.531378
224	2009/03/20	08:39:08	Gemsbok	2				-32.267610	22.536205
225	2009/03/20	08:40:01	Gemsbok	1				-32.282528	22.531632
226	2009/03/20	08:40:58	 Mtn zebra	3		1		-32.298837	22.523437
227	2009/03/20	08:41:53	Kudu	4				-32.291128	22.521230
228	2009/03/20	08:43:44	Kudu	1	1			-32.277957	22.513938
229	2009/03/20	08:43:52	Klipspringer	1				-32.275897	22.512833
230	2009/03/20	08:45:31	Kudu	4				-32.292827	22.519253
231	2009/03/20	08:45:58	Kudu	3				-32.300202	22.517527
232	2009/03/20	08:46:04	Kudu	1	1			-32.301962	22.517103
233	2009/03/20	08:46:10	Kudu	6		1		-32.302940	22.515927
234	2009/03/20	08:46:15	Kudu	3				-32.302980	22.514697
235	2009/03/20	08:46:22	Jackal	1				-32.301757	22.513847
236	2009/03/20	08:46:49	Kudu	2	2			-32.297278	22.516883
237	2009/03/20	08:48:57	Gemsbok	1				-32.304625	22.523993
238	2009/03/20	08:49:18	Klipspringer	2				-32.300145	22.527927
239	2009/03/20	08:49:30	 Mtn zebra	3				-32.297482	22.529907
240	2009/03/20	08:50:27	Klipspringer	1				-32.282705	22.534565
241	2009/03/20	08:50:32	Gemsbok	1				-32.281568	22.535422
242	2009/03/20	08:51:19	 Mtn zebra	4				-32.281295	22.546260
243	2009/03/20	08:52:05	Gemsbok	1				-32.275633	22.543280
244	2009/03/20	08:53:04	Kudu	7	2			-32.272328	22.546608
245	2009/03/20	08:53:10	Gemsbok	4				-32.272957	22.549080
246	2009/03/20	08:53:52	Klipspringer	2				-32.268180	22.555878
247	2009/03/20	08:54:22	Kudu	1	1			-32.265952	22.544042
248	2009/03/20	08:54:30	Kudu	2	2			-32.265452	22.541027
249	2009/03/20	08:55:25	 Mtn zebra	4				-32.262285	22.548723
250	2009/03/20	08:59:57	Kudu	1				-32.280963	22.556633
251	2009/03/20	09:00:05	Klipspringer	2				-32.281455	22.554152
252	2009/03/20	09:01:44	 Mtn zebra	5		1		-32.289640	22.532530
253	2009/03/20	09:02:20	Kudu	1				-32.299507	22.531230
254	2009/03/20	09:02:25	 Mtn zebra	1				-32.300960	22.530245
255	2009/03/20	09:02:38	Klipspringer	2		1		-32.304753	22.528232
256	2009/03/20	09:02:47	Gemsbok	1				-32.307295	22.527060
257	2009/03/20	09:02:53	Klipspringer	3				-32.308257	22.525180
258	2009/03/20	09:05:54	Klipspringer	1				-32.325130	22.521845
259	2009/03/20	09:07:08	 Mtn zebra	4		1		-32.326730	22.522460
260	2009/03/20	09:07:37	Kudu	1				-32.327230	22.513302
261	2009/03/20	09:07:46	Kudu	4				-32.328045	22.510145
262	2009/03/20	09:09:54	Kudu	4				-32.306615	22.515533
263	2009/03/20	09:09:59	Klipspringer	1				-32.305378	22.515698
264	2009/03/20	09:11:11	Kudu	2				-32.319132	22.501735
265	2009/03/20	09:11:48	Springbok	16		1		-32.327915	22.501602
266	2009/03/20	09:17:52	Gemsbok	1				-32.264283	22.502785
267	2009/03/20	09:18:00	Mt Reedbuck	3				-32.262372	22.501702
268	2009/03/20	09:18:06	Red Hartebeest	3	3			-32.261037	22.500997
269	2009/03/20	09:18:11	Grey rhebok	3				-32.260668	22.499492
270	2009/03/20	09:18:15	Kudu	1	1			-32.260913	22.498210
271	2009/03/20	09:18:20	 Mtn zebra	5	1			-32.263195	22.498142
272	2009/03/20	09:18:43	Grey rhebok	5		1		-32.266170	22.504203
273	2009/03/20	09:19:45	 Mtn zebra	2				-32.267285	22.513312
274	2009/03/20	09:22:54	Klipspringer	1				-32.257607	22.470128
275	2009/03/20	09:23:03	Klipspringer	2				-32.255527	22.467812
276	2009/03/20	09:24:03	Klipspringer	1				-32.238310	22.464417
277	2009/03/20	09:25:22	Klipspringer	1				-32.255940	22.464710
278	2009/03/20	09:25:48	Klipspringer	3				-32.262768	22.470682
279	2009/03/20	09:27:15	Klipspringer	2				-32.280818	22.488617
280	2009/03/20	09:28:55	 Mtn zebra	3				-32.281582	22.495548
281	2009/03/20	09:30:39	Kudu	1	1			-32.260338	22.464122
282	2009/03/20	09:32:05	Duiker	1				-32.251980	22.455977
283	2009/03/20	09:36:59	 Mtn zebra	1				-32.287878	22.499518
284	2009/03/20	09:37:22	Red Hartebeest	1	1			-32.290860	22.489565
285	2009/03/20	09:37:35	Kudu	3				-32.291783	22.483530
286	2009/03/20	09:40:24	Ostrich	4				-32.253037	22.445392
287	2009/03/20	09:41:58	Kudu	3				-32.284998	22.467587
288	2009/03/20	09:42:47	Kudu	3				-32.292245	22.488708
289	2009/03/20	09:44:17	Red Hartebeest	13		1		-32.299347	22.510142
290	2009/03/20	09:45:30	Kudu	1	1			-32.309568	22.499332
291	2009/03/20	09:50:31	Klipspringer	2				-32.313483	22.473793
292	2009/03/20	09:52:11	Klipspringer	2				-32.326930	22.480395
293	2009/03/20	09:52:26	Kudu	4				-32.331378	22.478798
294	2009/03/20	09:52:58	Kudu	2				-32.328323	22.482523
295	2009/03/20	09:53:04	Baboon	2				-32.326490	22.482372
296	2009/03/20	09:53:19	Kudu	2	2			-32.322055	22.480853
297	2009/03/20	09:55:07	Kudu	1				-32.310845	22.478095
298	2009/03/20	09:59:27	Kudu	4				-32.313800	22.497457
299	2009/03/20	09:59:31	Gemsbok	1				-32.312607	22.497490
300	2009/03/20	10:00:31	Duiker	1				-32.321463	22.490602
301	2009/03/20	10:00:49	Baboon	20				-32.318925	22.485160
302	2009/03/20	10:01:05	Kudu	4				-32.313243	22.485028
303	2009/03/20	10:01:56	Kudu	5				-32.313113	22.477653
304	2009/03/20	10:04:12	Kudu	2	2			-32.323227	22.483845
305	2009/03/20	10:04:45	Kudu	1				-32.333355	22.482015
306	2009/03/20	12:12:50	Klipspringer	2				-32.151748	22.253333
307	2009/03/20	12:14:46	Klipspringer	3				-32.147597	22.288408
308	2009/03/20	12:17:17	Klipspringer	3				-32.144968	22.309278
309	2009/03/20	12:19:03	Klipspringer	2				-32.148175	22.294373
310	2009/03/20	12:21:48	Kudu	1	1			-32.147865	22.246637
311	2009/03/20	12:22:08	Gemsbok	1				-32.148067	22.243102
312	2009/03/20	12:23:46	Klipspringer	1				-32.158608	22.275602
313	2009/03/20	12:24:03	Klipspringer	3				-32.154772	22.281050
314	2009/03/20	12:29:03	Baboon	15				-32.166412	22.303268
315	2009/03/20	12:29:33	Kudu	3				-32.161107	22.300868
316	2009/03/20	12:30:13	Kudu	4				-32.155745	22.291610
317	2009/03/20	12:30:17	Gemsbok	1				-32.156255	22.290263
318	2009/03/20	12:32:00	 Mtn zebra	3				-32.160600	22.258155
319	2009/03/20	12:32:59	 Mtn zebra	7				-32.151235	22.241078
320	2009/03/20	12:33:49	Red Hartebeest	1				-32.161228	22.243638
321	2009/03/20	12:35:08	 Mtn zebra	5				-32.163050	22.266738
322	2009/03/20	12:36:04	Grey rhebok	4				-32.162107	22.287038
323	2009/03/20	12:36:18	 Mtn zebra	5		1		-32.161515	22.292137
324	2009/03/20	12:36:50	Baboon	2				-32.166797	22.296797
325	2009/03/20	12:37:45	Red Hartebeest	1				-32.168527	22.311935
326	2009/03/20	12:42:03	Klipspringer	3				-32.139712	22.314988
327	2009/03/20	12:50:08	Kudu	2		1		-32.168007	22.362000
328	2009/03/20	12:50:30	Klipspringer	2				-32.175398	22.361308
329	2009/03/20	13:00:34	Kudu	4				-32.160380	22.351137
330	2009/03/20	13:01:55	Kudu	1	1			-32.139452	22.336588
331	2009/03/20	13:02:53	Klipspringer	2				-32.147108	22.332945
332	2009/03/20	13:05:44	Baboon	3				-32.190803	22.354477
333	2009/03/20	13:10:07	Gemsbok	1				-32.250943	22.378875
334	2009/03/20	13:10:57	Red Hartebeest	1	1			-32.246900	22.364248
335	2009/03/20	13:11:17	Baboon	20				-32.241138	22.362012
336	2009/03/20	13:11:39	Kudu	1				-32.235407	22.356918
337	2009/03/20	13:11:46	Baboon	12				-32.233753	22.355545
338	2009/03/20	13:12:47	Gemsbok	1				-32.216607	22.340832
339	2009/03/20	13:13:13	 Mtn zebra	3				-32.208498	22.335895
340	2009/03/20	13:13:24	 Mtn zebra	5				-32.205863	22.334695
341	2009/03/20	13:13:31	 Mtn zebra	6		1		-32.201983	22.334518
342	2009/03/20	13:15:10	Gemsbok	1				-32.191373	22.337732
343	2009/03/20	13:15:58	Baboon	1				-32.184380	22.352752
344	2009/03/20	13:17:15	Baboon	1				-32.160042	22.339163
345	2009/03/20	13:17:28	Baboon	14				-32.156122	22.336307
346	2009/03/20	13:18:59	 Mtn zebra	2				-32.172450	22.340702
347	2009/03/20	13:19:50	Baboon	10				-32.184048	22.339943
348	2009/03/20	13:19:56	Kudu	1				-32.182382	22.337873
349	2009/03/20	13:20:30	Kudu	1				-32.175985	22.327220
350	2009/03/20	13:20:55	Baboon	5				-32.169888	22.324553
351	2009/03/20	13:21:11	Red Hartebeest	9				-32.164763	22.323740
352	2009/03/20	13:21:20	Kudu	3				-32.161880	22.323537
353	2009/03/20	13:21:42	Kudu	4	1			-32.154772	22.322723
354	2009/03/20	13:22:19	Kudu	1				-32.156595	22.322597
355	2009/03/20	13:22:27	Kudu	2	2			-32.158417	22.320173
356	2009/03/20	13:24:52	 Mtn zebra	1				-32.207508	22.331430
357	2009/03/20	13:26:50	 Mtn zebra	1				-32.239697	22.366508
358	2009/03/20	13:30:35	Klipspringer	3				-32.227410	22.444743
359	2009/03/20	13:35:24	Kudu	2				-32.243657	22.404837
360	2009/03/20	13:37:18	Klipspringer	1				-32.239297	22.445588
361	2009/03/20	13:38:01	Klipspringer	2				-32.239715	22.453898
362	2009/03/20	13:38:33	Klipspringer	1				-32.233613	22.448163
363	2009/03/20	13:41:11	Gemsbok	1				-32.244503	22.421745
364	2009/03/20	13:50:44	 Mtn zebra	8				-32.220215	22.492812
365	2009/03/20	13:51:17	Grey rhebok	2				-32.225080	22.483003
366	2009/03/20	13:51:26	Grey rhebok	4				-32.226362	22.480430
367	2009/03/20	13:51:36	Grey rhebok	5				-32.228048	22.476945
368	2009/03/20	13:51:43	 Mtn zebra	1				-32.229118	22.474702
369	2009/03/20	13:52:06	Red Hartebeest	2		1		-32.232668	22.467855
370	2009/03/20	13:52:19	Red Hartebeest	22				-32.235452	22.464382
371	2009/03/20	13:53:46	Klipspringer	1				-32.226528	22.493173
372	2009/03/20	13:54:17	 Mtn zebra	4				-32.233358	22.485618
373	2009/03/20	13:56:57	Grey rhebok	4				-32.245988	22.486208
374	2009/03/20	13:57:01	 Mtn zebra	1				-32.246870	22.484998
375	2009/03/20	13:58:23	 Mtn zebra	4		1		-32.251433	22.489535
376	2009/03/20	13:58:29	Gemsbok	1				-32.250330	22.491290
377	2009/03/20	14:00:10	Red Hartebeest	11				-32.261462	22.496505
378	2009/03/20	14:00:42	Red Hartebeest	4				-32.263008	22.499958
379	2009/03/20	14:00:47	Grey rhebok	4				-32.262008	22.498735
380	2009/03/20	14:01:38	 Mtn zebra	3				-32.251487	22.508265
381	2009/03/20	14:04:45	Red Hartebeest	7				-32.231580	22.523558
382	2009/03/20	14:05:57	Grey rhebok	4				-32.232752	22.511708
383	2009/03/20	14:06:25	 Mtn zebra	6		1		-32.238033	22.502977
384	2009/03/20	14:11:40	Springbok	1				-32.223828	22.505322
385	2009/03/20	14:11:46	Springbok	9				-32.225018	22.503378
386	2009/03/20	14:11:50	Springbok	1				-32.225762	22.502157
387	2009/03/20	14:11:57	Grey rhebok	3				-32.226962	22.500067
388	2009/03/20	14:12:23	Red Hartebeest	1				-32.223288	22.495703
389	2009/03/20	14:12:37	 Mtn zebra	3				-32.220643	22.499317
390	2009/03/20	14:12:41	Springbok	2				-32.219695	22.500815
391	2009/03/20	14:12:47	 Mtn zebra	7				-32.218500	22.502603
392	2009/03/20	14:12:57	 Mtn zebra	7				-32.216630	22.505507
393	2009/03/20	14:13:02	 Mtn zebra	2				-32.215607	22.507165
394	2009/03/20	14:13:06	Springbok	3				-32.214867	22.508545
395	2009/03/20	14:14:53	Steenbok	1				-32.205560	22.525592
396	2009/03/20	14:14:58	Steenbok	1				-32.205130	22.526352
397	2009/03/20	14:15:46	Red Hartebeest	1	1			-32.196527	22.542332
398	2009/03/20	14:17:39	Kudu	2				-32.208237	22.513025
399	2009/03/20	14:18:11	Springbok	1				-32.213202	22.503837
