Ref	Date	Time	CONTROL	TOTAL	BULLS	CALVES	Notes	Latitude	Longitude
1	2009/03/19	09:44:01	Klipspringer	3				-32.229237	22.022395
2	2009/03/19	09:44:07	Klipspringer	2				-32.228018	22.022617
3	2009/03/19	09:44:26	Klipspringer	4				-32.223645	22.024513
4	2009/03/19	09:45:19	Klipspringer	1				-32.225547	22.038745
5	2009/03/19	09:45:25	Klipspringer	2				-32.226402	22.040460
6	2009/03/19	09:51:19	Klipspringer	2				-32.211002	22.010918
7	2009/03/19	09:51:31	Kudu	3				-32.211562	22.013995
8	2009/03/19	09:53:27	Baboon	1				-32.200585	22.023125
9	2009/03/19	09:58:50	Klipspringer	2				-32.224632	22.041915
10	2009/03/19	09:59:20	Kudu	2				-32.230280	22.038397
13	2009/03/19	10:03:03	Kudu	1	1			-32.230442	22.046355
14	2009/03/19	10:03:31	Jackal	1				-32.221268	22.044778
15	2009/03/19	10:06:15	Klipspringer	1				-32.213697	22.046738
16	2009/03/19	10:07:52	Mt Reedbuck	1				-32.216165	22.049997
17	2009/03/19	10:07:59	Kudu	2	2			-32.217198	22.049798
18	2009/03/19	10:08:06	Kudu	2	2			-32.218297	22.049768
21	2009/03/19	10:11:04	Mt Reedbuck	1				-32.205333	22.039047
22	2009/03/19	10:15:12	Kudu	2				-32.195275	22.017628
23	2009/03/19	10:16:53	Klipspringer	1				-32.194088	22.056398
24	2009/03/19	10:17:52	Klipspringer	2				-32.204580	22.065830
25	2009/03/19	10:17:58	Klipspringer	1				-32.205923	22.067268
26	2009/03/19	10:18:24	Mt Reedbuck	2				-32.208200	22.060497
27	2009/03/19	10:18:31	Klipspringer	3				-32.209892	22.060542
28	2009/03/19	10:22:45	Klipspringer	2				-32.198570	22.061707
29	2009/03/19	10:25:20	Klipspringer	2				-32.203122	22.077322
30	2009/03/19	10:28:28	Klipspringer	1				-32.246703	22.091112
31	2009/03/19	10:35:52	Klipspringer	2				-32.237350	22.087998
32	2009/03/19	10:35:59	Klipspringer	3				-32.239032	22.089068
33	2009/03/19	10:37:18	Kudu	2	2			-32.231877	22.068810
34	2009/03/19	10:40:32	Gemsbok	1				-32.223287	22.064990
35	2009/03/19	10:42:38	Kudu	1	1			-32.223437	22.061052
36	2009/03/19	10:42:57	Gemsbok	1	1			-32.219370	22.061838
37	2009/03/19	10:46:30	Red Hartebeest	6				-32.249902	22.055195
38	2009/03/19	10:46:35	Springbok	1	1			-32.247732	22.055268
39	2009/03/19	10:48:46	Gemsbok	1				-32.247583	22.076263
40	2009/03/19	10:51:59	Kudu	8				-32.263640	22.065978
41	2009/03/19	10:52:05	Kudu	3				-32.263668	22.066795
42	2009/03/19	10:52:18	Grey rhebok	1				-32.264977	22.065252
43	2009/03/19	10:53:04	Duiker	1				-32.257013	22.060503
44	2009/03/19	10:54:01	Kudu	6				-32.266362	22.071382
45	2009/03/19	10:54:20	Kudu	3		1		-32.269663	22.074838
46	2009/03/19	10:54:47	Duiker	1				-32.272715	22.082073
47	2009/03/19	10:54:56	Kudu	3				-32.273837	22.084698
48	2009/03/19	10:55:19	Gemsbok	1				-32.271447	22.085698
49	2009/03/19	10:55:36	Kudu	6				-32.269007	22.080482
50	2009/03/19	10:56:44	Gemsbok	1				-32.249423	22.078165
51	2009/03/19	10:59:21	Ostrich	3	2			-32.253758	22.088853
52	2009/03/19	11:04:56	Kudu	2				-32.277763	22.098155
53	2009/03/19	11:06:05	Kudu	5				-32.284005	22.115050
54	2009/03/19	11:06:25	Eland	1	1			-32.285362	22.113272
55	2009/03/19	11:07:19	Kudu	1				-32.283803	22.118857
56	2009/03/19	11:07:29	Kudu	13				-32.284093	22.120530
57	2009/03/19	11:07:35	Kudu	4	1			-32.284715	22.121562
58	2009/03/19	11:07:41	Duiker	1				-32.285365	22.122033
59	2009/03/19	11:07:50	Kudu	1				-32.286960	22.120762
60	2009/03/19	11:08:27	Red Hartebeest	5				-32.278787	22.111600
61	2009/03/19	11:10:21	Klipspringer	1				-32.252443	22.120097
62	2009/03/19	11:10:38	Springbok	1	1			-32.248670	22.121607
63	2009/03/19	11:11:01	Kudu	5	5			-32.250317	22.124847
64	2009/03/19	11:11:27	Kudu	8	8			-32.245340	22.127352
65	2009/03/19	11:12:00	Klipspringer	1				-32.238038	22.124530
66	2009/03/19	11:12:27	Springbok	1	1			-32.233035	22.118630
67	2009/03/19	11:13:58	Gemsbok	1				-32.222918	22.110925
68	2009/03/19	11:14:09	Kudu	7				-32.219330	22.111488
69	2009/03/19	11:15:55	Klipspringer	1				-32.220957	22.095572
70	2009/03/19	11:22:58	Baboon	1				-32.185958	22.068400
71	2009/03/19	11:26:35	Kudu	4	1			-32.179677	22.050557
72	2009/03/19	11:27:20	Kudu	4		2		-32.180458	22.057360
73	2009/03/19	11:28:06	Kudu	4		1		-32.185397	22.062243
74	2009/03/19	11:29:10	Eland	1				-32.184993	22.072130
75	2009/03/19	11:29:15	Duiker	1				-32.185937	22.072450
