year	Species	South	Central	North	FarNorth	TOTAL
1965	Blue Wildebeest		12197			13035
1968	Blue Wildebeest		13130			
1969	Blue Wildebeest	1475	13950	382	265	16072
1970	Blue Wildebeest	1407	11838			13950
1971	Blue Wildebeest	1172	10650	465	270	12557
1972	Blue Wildebeest	745	8007	638	347	9737
1973	Blue Wildebeest	1350	7700	690	360	10100
1974	Blue Wildebeest					
1975	Blue Wildebeest	1400	6900	700	360	9360
1976	Blue Wildebeest		5916			
1977	Blue Wildebeest			656	440	
1978	Blue Wildebeest		5141	834	436	7611
1979	Blue Wildebeest		4768	996	448	7412
1980	Blue Wildebeest	1106	5816	994	652	8568
1981	Blue Wildebeest	1129	6512	1193	861	9695
1982	Blue Wildebeest	1191	8127	1218	1054	11590
1983	Blue Wildebeest	1063	7584	1576	988	11211
1984	Blue Wildebeest	1179	8026	1781	939	11925
1985	Blue Wildebeest	862	8634	1692	1039	12227
1986	Blue Wildebeest	899	9406	2004	1117	13426
1987	Blue Wildebeest	1054	9951	1923	1673	14601
1988	Blue Wildebeest	1239	9650	1708	1689	14286
1989	Blue Wildebeest	822	9547	1419	1917	13705
1990	Blue Wildebeest	1022	9807	1439	2025	14293
1991	Blue Wildebeest	954	9788	1207	1885	13834
1992	Blue Wildebeest	1305	10574	1142	939	13960
1993	Blue Wildebeest	809	10524	540	481	12354
1994	Blue Wildebeest		9191	535	391	11117
1995	Blue Wildebeest		7324	408	348	9081
1996	Blue Wildebeest		9141			
1997	Blue Wildebeest	1010				
1965	Zebra		8000			14400
1968	Zebra		11400			
1969	Zebra	2220	13050	2095	2100	19465
1970	Zebra	2560	12285			20227
1971	Zebra	2520	9300	2620	2450	16890
1972	Zebra	2932	9266	3077	1359	16634
1973	Zebra	2500	8650	2900	2450	16500
1974	Zebra					
1975	Zebra	2400	7700	3000	2600	15700
1976	Zebra		7795			
1977	Zebra			4884	2069	
1978	Zebra		8316	5593	2391	18700
1979	Zebra		8434	6620	2579	20033
1980	Zebra	2316	8877	7290	2971	21454
1981	Zebra	2445	10834	8224	3472	24975
1982	Zebra	2563	11603	9939	4015	28120
1983	Zebra	2552	9807	9338	4276	25973
1984	Zebra	2577	12830	10867	4001	30275
1985	Zebra	2067	11822	11165	4659	29713
1986	Zebra	2277	12520	13011	5356	33164
1987	Zebra	2398	13097	10799	5907	32201
1988	Zebra	2119	12431	9734	5990	30274
1989	Zebra	2354	13008	9696	6540	31598
1990	Zebra	2401	12176	10415	6918	31910
1991	Zebra	1725	13240	10753	6985	32703
1992	Zebra	2947	12060	10410	5620	31037
1993	Zebra	2405	13589	7814	5291	29099
1994	Zebra		14153	8725	5957	31235
1995	Zebra		13811	6393	5505	28109
1996	Zebra		15133			
1997	Zebra	1821				
1965	Impala					200000
1968	Impala					
1969	Impala	45900	66500	14550	12600	139550
1970	Impala	49100	86000			161950
