year	Species	South	Central	North	FarNorth	TOTAL
1971	Impala	42700	80500	12850	11250	147300
1972	Impala					
1973	Impala	54000	70000	16900	13200	154100
1974	Impala					
1975	Impala	48000	75000	17000	13000	153000
1976	Impala					
1977	Impala			12358	4096	
1978	Impala		33304	10555	5971	89830
1979	Impala		35340	11532	3748	90620
1980	Impala	32035	38288	16088	5473	91884
1981	Impala	43045	49655	21130	7581	121411
1982	Impala	39609	54425	22914	7336	124284
1983	Impala	37371	35508	14020	8516	95415
1984	Impala	54307	47757	23020	11971	137055
1985	Impala	33489	64319	30989	7817	136614
1986	Impala	40269	55364	25026	10447	131106
1987	Impala	30727	56898	20492	12235	120352
1988	Impala	35482	48330	25968	10403	120183
1989	Impala	40270	50216	17523	12559	120568
1990	Impala	31480	50710	25154	8879	116223
1991	Impala	29842	45826	25343	11187	112198
1992	Impala	40307	32845	16997	11267	101416
1993	Impala	31214	41192	17295	7578	97279
1994	Impala		33771	16787	7843	91401
1995	Impala		31661	15391	7501	87553
1996	Impala		35388			
1997	Impala	24000				
1965	Giraffe					2975
1968	Giraffe					
1969	Giraffe	684	2320	255	55	3314
1970	Giraffe	785	2638			3870
1971	Giraffe	765	2510	320	52	3647
1972	Giraffe	612	1089	341	123	2165
1973	Giraffe	1040	2600	415	70	4125
1974	Giraffe					
1975	Giraffe	1200	2500	415	70	4185
1976	Giraffe		2653			
1977	Giraffe			457	88	
1978	Giraffe		2764	452	98	4314
1979	Giraffe		2834	591	88	4513
1980	Giraffe	793	2641	580	108	4122
1981	Giraffe	1008	3146	667	138	4959
1982	Giraffe	1023	3288	720	144	5175
1983	Giraffe	1128	2869	576	150	4723
1984	Giraffe	1263	3250	648	180	5341
1985	Giraffe	926	3544	723	125	5318
1986	Giraffe	1050	3798	740	171	5759
1987	Giraffe	852	3235	620	256	4963
1988	Giraffe	922	3248	646	214	5030
1989	Giraffe	926	3035	693	207	4861
1990	Giraffe	906	2866	693	254	4719
1991	Giraffe	814	2749	757	216	4536
1992	Giraffe	854	2761	628	357	4600
1993	Giraffe	920	3058	669	247	4894
1994	Giraffe		2726	772	310	4668
1995	Giraffe		3043	535	259	4697
1996	Giraffe		3094			
1997	Giraffe	771				
1965	Kudu					6875
1968	Kudu					
1969	Kudu	1530	1950	950	1100	5530
1970	Kudu	1480	2380			6520
1971	Kudu	1110	2000	940	940	4990
1972	Kudu	672	564	1547	1174	3957
1973	Kudu	2000	2450	1400	1350	7200
1974	Kudu					
1975	Kudu	2700	3000	1550	1450	8700
1976	Kudu		4022			
1977	Kudu			1499	1073	
1978	Kudu		3362	1602	941	8405
1979	Kudu		3488	2125	861	8974
1980	Kudu	2304	3060	2053	1076	8493
1981	Kudu	2122	3956	2924	1285	10287
1982	Kudu	1981	4113	2892	1401	10387
1983	Kudu	1551	2468	1721	1265	7005
1984	Kudu	2370	3201	1745	1345	8661
1985	Kudu	2141	4493	2462	1336	10432
1986	Kudu	2559	4301	2443	1457	10760
1987	Kudu	1892	3940	1702	1252	8786
1988	Kudu	1757	3681	1702	1074	8214
1989	Kudu	2100	2593	1269	973	6935
1990	Kudu	1491	2320	1142	1014	5967
1991	Kudu	1419	2194	820	273	4706
1992	Kudu	1488	1589	704	186	3967
1993	Kudu	993	1482	512	140	3127
1994	Kudu		1263	455	141	3159
1995	Kudu		1176	467	157	3100
1996	Kudu		1402			
1997	Kudu	883				
1965	Waterbuck					4085
1968	Waterbuck					
1969	Waterbuck	452	1325	820	630	3227
1970	Waterbuck	682	1225			3307
1971	Waterbuck	395	890	735	470	2490
1972	Waterbuck	214	483	1071	457	2225
1973	Waterbuck	540	1070	1040	450	3100
1974	Waterbuck					
1975	Waterbuck	500	1100	1100	520	3220
1976	Waterbuck		905			
1977	Waterbuck			703	124	
1978	Waterbuck		1026	774	242	2492
1979	Waterbuck		1008	941	206	2605
1980	Waterbuck	444	1039	992	251	2726
1981	Waterbuck	382	1506	1592	397	3877
1982	Waterbuck	365	1486	1823	425	4099
1983	Waterbuck	312	1044	1233	426	3015
1984	Waterbuck	470	1222	1265	301	3258
1985	Waterbuck	503	2081	1859	599	5042
1986	Waterbuck	423	1629	1417	616	4085
1987	Waterbuck	496	1504	1369	648	4017
1988	Waterbuck	449	1690	1163	494	3796
1989	Waterbuck	454	1494	819	385	3152
1990	Waterbuck	354	1635	751	463	3203
1991	Waterbuck	307	1051	764	456	2578
1992	Waterbuck	256	723	812	242	2033
1993	Waterbuck	175	755	342	147	1419
1994	Waterbuck		629	318	180	1367
1995	Waterbuck		320	196	205	961
1996	Waterbuck		707			
1997	Waterbuck	248				
1965	Warthog					
1968	Warthog					
1969	Warthog	1040	2170	670	450	4330
1970	Warthog					2917
1971	Warthog	440	1250	325	140	2152
1972	Warthog					
1973	Warthog	620	1300	630	145	2695
1974	Warthog					
1975	Warthog	800	2000	680	270	3750
1976	Warthog		1031			
1977	Warthog			306	141	
1978	Warthog		1245	537	217	2899
1979	Warthog		1012	539	129	2580
1980	Warthog	1018	1465	681	147	3311
1981	Warthog	1234	1937	875	308	4354
1982	Warthog	1018	1515	989	282	3804
1983	Warthog	357	910	541	231	2039
1984	Warthog	432	1228	744	393	2797
1985	Warthog	686	1840	981	313	3820
1986	Warthog	807	1719	1096	426	4048
1987	Warthog	551	1346	683	401	2981
1988	Warthog	574	1372	712	303	2961
1989	Warthog	497	1043	540	464	2544
1990	Warthog	562	1103	722	328	2715
1991	Warthog	354	976	630	199	2159
1992	Warthog	408	644	408	215	1675
1993	Warthog	184	268	181	88	721
1994	Warthog		226	83	63	672
1995	Warthog		227	45	55	627
1996	Warthog		467			
1997	Warthog	383				
1965	Sable					1236
1968	Sable					
1969	Sable	278	298	304	188	1068
1970	Sable	258	270			1033
1971	Sable	250	265	310	200	1030
1972	Sable	205	114	200	165	684
1973	Sable	310	270	330	306	1211
1974	Sable					
1975	Sable	320	250	275	285	1105
1976	Sable		287			
1977	Sable			455	339	
1978	Sable		285	511	316	
1979	Sable		300	591	402	
1980	Sable	351	286	574	419	1630
1981	Sable	378	317	698	468	1861
1982	Sable	365	339	773	535	2012
1983	Sable	402	277	802	644	2125
1984	Sable	323	316	760	518	1917
1985	Sable	418	327	849	646	2240
1986	Sable	343	326	882	556	2107
1987	Sable	434	405	678	679	2196
1988	Sable	311	427	703	549	1990
1989	Sable	249	233	576	568	1626
1990	Sable	362	420	573	522	1877
1991	Sable	300	302	397	444	1443
1992	Sable	272	277	395	288	1232
1993	Sable	250	293	168	168	856
1994	Sable		245	165	165	825
1995	Sable		82	135	129	596
1996	Sable		132			600
1997	Sable	141				
1965	Roan					351
1968	Roan					
1969	Roan	30	5	115	108	278
1970	Roan	30	5			266
1971	Roan	30	0	118	124	272
1972	Roan	20	0	40	106	166
1973	Roan	30	7	125	178	333
1974	Roan					
1975	Roan	25	0	110	160	295
1976	Roan		0			
1977	Roan			151	143	294
1978	Roan		0	138	134	272
1979	Roan		0	156	131	287
1980	Roan	4	0	155	156	315
1981	Roan	4	0	177	158	339
1982	Roan	12	1	139	161	313
1983	Roan	0	0	179	155	334
1984	Roan	14	1	193	136	344
1985	Roan	10	5	162	151	328
1986	Roan	1	20	214	217	452
1987	Roan	0	12	127	140	279
1988	Roan	1	12	57	106	176
1989	Roan	3	11	88	94	196
1990	Roan	0	7	55	105	167
1991	Roan	1	9	77	68	155
1992	Roan	0	3	25	40	68
1993	Roan	0	0	18	25	53
1994	Roan	0	0	26	23	53
1995	Roan	0	0	22	14	44
1996	Roan	0	0	0	19	24
1997	Roan					27
1965	Tsessebe					715
1968	Tsessebe					
1969	Tsessebe	0	88	176	320	584
1970	Tsessebe	0	93			633
1971	Tsessebe	0	60	210	225	494
1972	Tsessebe	0	0	307	318	625
1973	Tsessebe	0	80	280	275	635
1974	Tsessebe					
1975	Tsessebe	0	60	290	290	640
1976	Tsessebe		90			
1977	Tsessebe			376	199	613
1978	Tsessebe		37	404	213	654
1979	Tsessebe		39	451	292	782
1980	Tsessebe	0	38	496	293	828
1981	Tsessebe	0	41	530	288	863
1982	Tsessebe	0	45	488	368	903
1983	Tsessebe	8	45	552	390	995
1984	Tsessebe	9	46	597	278	930
1985	Tsessebe	2	43	799	319	1163
1986	Tsessebe	14	49	717	383	1163
1987	Tsessebe	12	76	595	209	892
1988	Tsessebe	14	51	495	278	838
1989	Tsessebe	19	64	373	248	704
1990	Tsessebe	52	31	408	220	711
1991	Tsessebe	19	29	429	205	682
1992	Tsessebe	2	12	291	166	471
1993	Tsessebe	11	7	245	111	374
1994	Tsessebe	0	1	224	103	328
1995	Tsessebe	0	0	161	61	222
1996	Tsessebe				25	250
1997	Tsessebe	10				
1965	Eland					540
1968	Eland					
1969	Eland	0	13	195	160	368
1970	Eland	0	14			349
1971	Eland	0	0	170	135	305
1972	Eland	0	1	248	190	439
1973	Eland	0	1	130	210	340
1974	Eland					
1975	Eland	0	0	180	245	425
1976	Eland		0			
1977	Eland			140	131	271
1978	Eland		0	165	151	316
1979	Eland		2	171	220	393
1980	Eland	5	3	199	283	490
1981	Eland	3	2	300	254	559
1982	Eland	0	0	296	270	566
1983	Eland	2	7	299	345	653
1984	Eland	0	6	305	432	743
1985	Eland	13	9	353	490	865
1986	Eland	18	16	367	456	857
1987	Eland	10	14	439	533	996
1988	Eland	13	8	380	370	771
1989	Eland	6	7	199	427	639
1990	Eland	18	34	299	393	744
1991	Eland	10	7	193	239	449
1992	Eland	9	4	213	345	571
1993	Eland	7	12	165	312	496
1994	Eland		0	197	243	440
1995	Eland		5	116	228	349
1996	Eland					360
1997	Eland					
1965	Buffalo					
1968	Buffalo					
1969	Buffalo					19056
1970	Buffalo					21142
1971	Buffalo					19785
1972	Buffalo					21051
1973	Buffalo					22015
1974	Buffalo					23172
1975	Buffalo					23705
1976	Buffalo					26658
1977	Buffalo					27997
1978	Buffalo					29672
1979	Buffalo					28856
1980	Buffalo					28040
1981	Buffalo					34912
1982	Buffalo					32860
1983	Buffalo					29487
1984	Buffalo					24585
1985	Buffalo					29047
1986	Buffalo					28977
1987	Buffalo					33024
1988	Buffalo					31574
1989	Buffalo					32186
1990	Buffalo					29976
1991	Buffalo					31115
1992	Buffalo					23552
1993	Buffalo					16271
1994	Buffalo					15485
1995	Buffalo					14990
1996	Buffalo					17134
1997	Buffalo					19477
