Date	CONTROL	TOTAL	BULLS	CALVES		Longitude		Latitude
2008/03/26	Grey rhebok	6			-32.238067	22.526567	32.238067	-32.238067
2008/03/26	Grey rhebok	1			-32.234608	22.526563	32.234608	-32.234608
2008/03/26	Grey rhebok	6			-32.228027	22.531243	32.228027	-32.228027
2008/03/26	Grey rhebok	6			-32.225312	22.532852	32.225312	-32.225312
2008/03/26	Mt Reedbuck	2			-32.210513	22.545143	32.210513	-32.210513
2008/03/26	Grey rhebok	2			-32.194507	22.546592	32.194507	-32.194507
2008/03/26	Klipspringer	2			-32.193742	22.546848	32.193742	-32.193742
2008/03/26	Klipspringer	2			-32.202460	22.548743	32.202460	-32.202460
2008/03/26	Klipspringer	5			-32.212628	22.548520	32.212628	-32.212628
2008/03/26	Klipspringer	1			-32.223992	22.548533	32.223992	-32.223992
2008/03/26	Kudu	3			-32.243162	22.535310	32.243162	-32.243162
2008/03/26	Klipspringer	2			-32.255163	22.522137	32.255163	-32.255163
2008/03/26	Klipspringer	1			-32.267657	22.523218	32.267657	-32.267657
2008/03/26	Mt Reedbuck	5			-32.264760	22.516402	32.264760	-32.264760
2008/03/26	Mt Reedbuck	2			-32.268660	22.497870	32.268660	-32.268660
2008/03/26	Klipspringer	2			-32.272660	22.494385	32.272660	-32.272660
2008/03/26	Red Hartebeest	1	1		-32.268758	22.505142	32.268758	-32.268758
2008/03/26	Grey rhebok	3			-32.278510	22.498750	32.278510	-32.278510
2008/03/26	Klipspringer	1			-32.275222	22.509978	32.275222	-32.275222
2008/03/26	Kudu	2		1	-32.282083	22.504892	32.282083	-32.282083
2008/03/26	Jackal	1			-32.282715	22.502398	32.282715	-32.282715
2008/03/26	Grey rhebok	3			-32.284660	22.499075	32.284660	-32.284660
2008/03/26	Red Hartebeest	1			-32.284912	22.497713	32.284912	-32.284912
2008/03/26	Jackal	1			-32.288762	22.493968	32.288762	-32.288762
2008/03/26	Klipspringer	2			-32.289845	22.513393	32.289845	-32.289845
2008/03/26	Baboon	1			-32.292218	22.514205	32.292218	-32.292218
2008/03/26	Klipspringer	1			-32.295967	22.512387	32.295967	-32.295967
2008/03/26	Red Hartebeest	6			-32.304937	22.508003	32.304937	-32.304937
2008/03/26	Mt Reedbuck	4			-32.306543	22.507705	32.306543	-32.306543
2008/03/26	Gemsbok	1			-32.304333	22.504425	32.304333	-32.304333
2008/03/26	Kudu	5	1		-32.299955	22.506185	32.299955	-32.299955
2008/03/26	Red Hartebeest	11			-32.294872	22.507730	32.294872	-32.294872
2008/03/26	Red Hartebeest	2			-32.293232	22.507372	32.293232	-32.293232
2008/03/26	 Mtn zebra	2			-32.295718	22.502255	32.295718	-32.295718
2008/03/26	Klipspringer	2			-32.311263	22.506883	32.311263	-32.311263
2008/03/26	Klipspringer	1			-32.299488	22.511527	32.299488	-32.299488
2008/03/26	Klipspringer	2			-32.292527	22.515587	32.292527	-32.292527
2008/03/26	Baboon	1			-32.287918	22.514428	32.287918	-32.287918
2008/03/26	Baboon	20			-32.286498	22.513865	32.286498	-32.286498
2008/03/26	Grey rhebok	1			-32.283980	22.512772	32.283980	-32.283980
2008/03/26	Kudu	3	1		-32.278555	22.519338	32.278555	-32.278555
2008/03/26	Mt Reedbuck	3			-32.280103	22.520538	32.280103	-32.280103
2008/03/26	Klipspringer	1			-32.283717	22.519723	32.283717	-32.283717
2008/03/26	Kudu	10			-32.304513	22.512503	32.304513	-32.304513
2008/03/26	Kudu	2		1	-32.318770	22.506020	32.318770	-32.318770
2008/03/26	Kudu	1			-32.317203	22.507697	32.317203	-32.317203
2008/03/26	Jackal	1			-32.314342	22.509337	32.314342	-32.314342
2008/03/26	Kudu	4			-32.297918	22.517947	32.297918	-32.297918
2008/03/26	Klipspringer	1			-32.299760	22.520193	32.299760	-32.299760
2008/03/26	Kudu	2			-32.302902	22.519153	32.302902	-32.302902
2008/03/26	Klipspringer	1			-32.314412	22.512552	32.314412	-32.314412
2008/03/26	Mt Reedbuck	4			-32.325798	22.503595	32.325798	-32.325798
