Date	Stratum	Transect	Lat	Long	Species	Total	Juvenile	L/R	Strip	comments
2006-06-06	Puttersvlei		-32.22924	22.02239	mz	5	3			"take off 09:15, clear; cool initially; hot later"
2006-06-06	Puttersvlei				gr	1				
2006-06-06	Puttersvlei				gr	8				
2006-06-06	Puttersvlei				st	1				
2006-06-06	Puttersvlei				k	1				
2006-06-06	Puttersvlei				gr	7				
2006-06-06	Puttersvlei				mz	3				
2006-06-06	Puttersvlei				mz	9				
2006-06-06	Puttersvlei				gr	4				
2006-06-06	Puttersvlei				mz	4				
2006-06-06	Puttersvlei				sp	18				
2006-06-06	Puttersvlei				gr	4				
2006-06-06	Puttersvlei				rh	1				
2006-06-06	Puttersvlei				mz	5	1			
2006-06-06	Puttersvlei				gr	10				
2006-06-06	Puttersvlei				gr	8				
2006-06-06	Puttersvlei				rh	3				
2006-06-06	Puttersvlei				mz	2				
2006-06-06	Puttersvlei				rh	20	5			
2006-06-06	Puttersvlei				mz	5	1			
2006-06-06	Puttersvlei				rh	3				
2006-06-06	Puttersvlei				mz	4	1			
2006-06-06	Puttersvlei				mz	2				
2006-06-06	Donkergat				mz	2				
2006-06-06	Donkergat				gr	2				
2006-06-06	Donkergat				gr	3				
2006-06-06	Donkergat				k	1				
2006-06-06	Donkergat				mz	5				
2006-06-06	Donkergat				rh	1				
2006-06-06	Donkergat				mz	3				
2006-06-06	Donkergat				mz	3				
2006-06-06	Donkergat				mz	15				
2006-06-06	Donkergat				k	5				
2006-06-06	Donkergat				k	2				
2006-06-06	Donkergat				mz	4				
2006-06-06	Donkergat				g	1				
2006-06-06	Donkergat				k	16				
2006-06-06	Donkergat				k	1				
2006-06-06	Donkergat				k	6				
2006-06-06	Donkergat				k	6				
2006-06-06	Donkergat				mz	15				
2006-06-06	Donkergat				mr	2				
2006-06-06	Donkergat				k	5				
2006-06-06	Donkergat				kl	2				
2006-06-06	Donkergat				mz	3				
2006-06-06	Lammertjiesleegte				k	3				
2006-06-06	Lammertjiesleegte				be	1				
2006-06-06	Lammertjiesleegte				k	16				
2006-06-06	Lammertjiesleegte				g	1				
2006-06-06	Lammertjiesleegte				k	1				
2006-06-06	Lammertjiesleegte				j	2				
2006-06-06	Lammertjiesleegte				mz	2				
2006-06-06	Lammertjiesleegte				g	6	1			
2006-06-06	Lammertjiesleegte				rh	1				
2006-06-06	Lammertjiesleegte				k	2				
2006-06-06	Lammertjiesleegte				bz	7	2			
2006-06-06	Lammertjiesleegte				kl	2				
2006-06-06	Lammertjiesleegte				kl	4				
2006-06-06	Lammertjiesleegte				kl	3				
2006-06-06	Lammertjiesleegte				mz	2				
2006-06-06	Lammertjiesleegte				kl	1				
2006-06-06	Lammertjiesleegte				kl	3				
2006-06-06	Lammertjiesleegte				g	1				
2006-06-06	Lammertjiesleegte				j	1				
2006-06-06	Lammertjiesleegte				gr	3				
