Date	Common name	SumOfTotal number
2000/2/12 00:00:00	Springbok	2110.00
2000/2/12 00:00:00	Steenbok	75.00
2002/2/10 00:00:00	Aardwolf	3.00
2002/2/10 00:00:00	Baboon	16.00
2002/2/10 00:00:00	Bat eared fox	16.00
2002/2/10 00:00:00	Black eagle	23.00
2002/2/10 00:00:00	Booted eagle	1.00
2002/2/10 00:00:00	Duiker	15.00
2002/2/10 00:00:00	Eland	282.00
2002/2/10 00:00:00	Gemsbok	483.00
2002/2/10 00:00:00	Grey rhebok	121.00
2002/2/10 00:00:00	Jackal	6.00
2002/2/10 00:00:00	Klipspringer	272.00
2002/2/10 00:00:00	Kori burstard	2.00
2002/2/10 00:00:00	Kudu	377.00
2002/2/10 00:00:00	Mountain reedbuck	38.00
2002/2/10 00:00:00	Mountain zebra	354.00
2002/2/10 00:00:00	Ostrich	240.00
2002/2/10 00:00:00	Plain zebra, Quagga	32.00
2002/2/10 00:00:00	Porcupine	4.00
2002/2/10 00:00:00	Red hartebeest	497.00
2002/2/10 00:00:00	Springbok	2278.00
2002/2/10 00:00:00	Steenbok	27.00
2003/2/1 00:00:00	Baboon	21.00
2003/2/1 00:00:00	Bat eared fox	4.00
2003/2/1 00:00:00	Black breasted snake eagle	1.00
2003/2/1 00:00:00	Black eagle	27.00
2003/2/1 00:00:00	Booted eagle	1.00
2003/2/1 00:00:00	Duiker	23.00
2003/2/1 00:00:00	Eland	134.00
2003/2/1 00:00:00	Fd	7.00
2003/2/1 00:00:00	Gemsbok	586.00
2003/2/1 00:00:00	Grey rhebok	142.00
2003/2/1 00:00:00	Jackal	16.00
2003/2/1 00:00:00	Jackal buzzard	4.00
2003/2/1 00:00:00	Klipspringer	290.00
2003/2/1 00:00:00	Kori burstard	1.00
2003/2/1 00:00:00	Kudu	443.00
2003/2/1 00:00:00	Mountain reedbuck	43.00
2003/2/1 00:00:00	Mountain zebra	380.00
2003/2/1 00:00:00	Ostrich	190.00
2003/2/1 00:00:00	Plain zebra, Quagga	29.00
2003/2/1 00:00:00	Porcupine	1.00
2003/2/1 00:00:00	Red hartebeest	520.00
2003/2/1 00:00:00	Springbok	1776.00
2003/2/1 00:00:00	Steenbok	39.00
2004/2/1 00:00:00	Baboon	13.00
2004/2/1 00:00:00	Bat eared fox	3.00
2004/2/1 00:00:00	Black eagle	19.00
2004/2/1 00:00:00	Booted eagle	2.00
2004/2/1 00:00:00	Cow	3.00
2004/2/1 00:00:00	Duiker	17.00
2004/2/1 00:00:00	Eland	174.00
2004/2/1 00:00:00	Gemsbok	658.00
2004/2/1 00:00:00	Grey rhebok	204.00
2004/2/1 00:00:00	Jackal	13.00
2004/2/1 00:00:00	Jackal buzzard	2.00
2004/2/1 00:00:00	Klipspringer	272.00
2004/2/1 00:00:00	Kudu	350.00
2004/2/1 00:00:00	Martial eagle	1.00
2004/2/1 00:00:00	Mountain reedbuck	42.00
2004/2/1 00:00:00	Mountain zebra	340.00
2004/2/1 00:00:00	Ostrich	242.00
2004/2/1 00:00:00	Plain zebra, Quagga	45.00
2004/2/1 00:00:00	Porcupine	7.00
2004/2/1 00:00:00	Red hartebeest	620.00
2004/2/1 00:00:00	Springbok	831.00
2004/2/1 00:00:00	Steenbok	26.00
2005/2/1 00:00:00	Baboon	24.00
2005/2/1 00:00:00	Bat eared fox	3.00
2005/2/1 00:00:00	Ben	
2005/2/1 00:00:00	Black eagle	7.00
2005/2/1 00:00:00	Booted eagle	3.00
2005/2/1 00:00:00	Buffalo	5.00
2005/2/1 00:00:00	Duiker	5.00
2005/2/1 00:00:00	Eland	9.00
2005/2/1 00:00:00	Gemsbok	22.00
2005/2/1 00:00:00	Grey rhebok	45.00
2005/2/1 00:00:00	Jackal	1.00
2005/2/1 00:00:00	Klipspringer	193.00
2005/2/1 00:00:00	Kudu	141.00
2005/2/1 00:00:00	Mountain reedbuck	56.00
2005/2/1 00:00:00	Mountain zebra	39.00
2005/2/1 00:00:00	Ostrich	24.00
2005/2/1 00:00:00	Plain zebra, Quagga	38.00
2005/2/1 00:00:00	Red hartebeest	33.00
2005/2/1 00:00:00	Springbok	161.00
2005/2/1 00:00:00	Steenbok	5.00
2005/2/2 00:00:00	Baboon	32.00
2005/2/2 00:00:00	Black breasted snake eagle	1.00
2005/2/2 00:00:00	Black eagle	7.00
2005/2/2 00:00:00	Duiker	4.00
2005/2/2 00:00:00	Eland	13.00
2005/2/2 00:00:00	Gemsbok	285.00
2005/2/2 00:00:00	Grey rhebok	125.00
2005/2/2 00:00:00	Jackal	5.00
2005/2/2 00:00:00	Jackal buzzard	1.00
2005/2/2 00:00:00	Klipspringer	48.00
2005/2/2 00:00:00	Kudu	166.00
2005/2/2 00:00:00	Mountain reedbuck	26.00
2005/2/2 00:00:00	Mountain zebra	206.00
2005/2/2 00:00:00	Ostrich	62.00
2005/2/2 00:00:00	Porcupine	1.00
2005/2/2 00:00:00	Red hartebeest	242.00
2005/2/2 00:00:00	Springbok	91.00
2005/2/2 00:00:00	Steenbok	11.00
2005/2/4 00:00:00	Aardwolf	1.00
2005/2/4 00:00:00	Baboon	63.00
2005/2/4 00:00:00	Bat eared fox	12.00
2005/2/4 00:00:00	Ben	
2005/2/4 00:00:00	Black eagle	9.00
2005/2/4 00:00:00	Booted eagle	1.00
2005/2/4 00:00:00	Duiker	3.00
2005/2/4 00:00:00	Eland	106.00
2005/2/4 00:00:00	Gemsbok	140.00
2005/2/4 00:00:00	Goat	10.00
2005/2/4 00:00:00	Grey rhebok	5.00
2005/2/4 00:00:00	Jackal	8.00
2005/2/4 00:00:00	Klipspringer	150.00
2005/2/4 00:00:00	Kori burstard	2.00
2005/2/4 00:00:00	Kudu	155.00
2005/2/4 00:00:00	Mountain reedbuck	14.00
2005/2/4 00:00:00	Mountain zebra	157.00
2005/2/4 00:00:00	Ostrich	67.00
2005/2/4 00:00:00	Red hartebeest	314.00
2005/2/4 00:00:00	Springbok	214.00
2005/2/4 00:00:00	Steenbok	17.00
2005/2/5 00:00:00	Cow	39.00
2005/2/5 00:00:00	Duiker	6.00
2005/2/5 00:00:00	Eland	7.00
2005/2/5 00:00:00	Fd	2.00
2005/2/5 00:00:00	Gemsbok	5.00
2005/2/5 00:00:00	Jackal	1.00
2005/2/5 00:00:00	Klipspringer	13.00
2005/2/5 00:00:00	Kudu	26.00
2005/2/5 00:00:00	Martial eagle	1.00
2005/2/5 00:00:00	Red hartebeest	3.00
2005/2/5 00:00:00	Springbok	239.00
2005/2/5 00:00:00	Steenbok	23.00
