Date	Common name	SumOfTotal number
1994/2/1 00:00:00	Buffalo	3.00
1994/2/1 00:00:00	Duiker	4.00
1994/2/1 00:00:00	Gemsbok	81.00
1994/2/1 00:00:00	Grey rhebok	34.00
1994/2/1 00:00:00	Kudu	98.00
1994/2/1 00:00:00	Mountain reedbuck	25.00
1994/2/1 00:00:00	Mountain zebra	194.00
1994/2/1 00:00:00	Ostrich	4.00
1994/2/1 00:00:00	Red hartebeest	35.00
1994/2/1 00:00:00	Springbok	2163.00
1994/2/1 00:00:00	Steenbok	11.00
1996/3/9 00:00:00	Buffalo	37.00
1996/3/9 00:00:00	Duiker	3.00
1996/3/9 00:00:00	Gemsbok	180.00
1996/3/9 00:00:00	Grey rhebok	205.00
1996/3/9 00:00:00	Kudu	182.00
1996/3/9 00:00:00	Mountain reedbuck	35.00
1996/3/9 00:00:00	Mountain zebra	195.00
1996/3/9 00:00:00	Ostrich	19.00
1996/3/9 00:00:00	Red hartebeest	4.00
1996/3/9 00:00:00	Springbok	1442.00
1996/3/9 00:00:00	Steenbok	14.00
1997/2/18 00:00:00	Grey rhebok	38.00
1997/2/18 00:00:00	Klipspringer	94.00
1997/2/18 00:00:00	Mountain reedbuck	16.00
1997/2/18 00:00:00	Mountain zebra	54.00
1997/2/18 00:00:00	Springbok	300.00
1997/2/18 00:00:00	Steenbok	11.00
1998/2/16 00:00:00	Duiker	4.00
1998/2/16 00:00:00	Eland	81.00
1998/2/16 00:00:00	Gemsbok	327.00
1998/2/16 00:00:00	Grey rhebok	189.00
1998/2/16 00:00:00	Klipspringer	44.00
1998/2/16 00:00:00	Kudu	167.00
1998/2/16 00:00:00	Mountain reedbuck	36.00
1998/2/16 00:00:00	Mountain zebra	239.00
1998/2/16 00:00:00	Red hartebeest	286.00
1998/2/16 00:00:00	Springbok	1467.00
1998/2/16 00:00:00	Steenbok	32.00
1999/2/10 00:00:00	Baboon	9.00
1999/2/10 00:00:00	Black breasted snake eagle	1.00
1999/2/10 00:00:00	Black eagle	6.00
1999/2/10 00:00:00	Booted eagle	1.00
1999/2/10 00:00:00	Buffalo	9.00
1999/2/10 00:00:00	Cow	4.00
1999/2/10 00:00:00	Duiker	24.00
1999/2/10 00:00:00	Eland	113.00
1999/2/10 00:00:00	Gemsbok	314.00
1999/2/10 00:00:00	Grey rhebok	144.00
1999/2/10 00:00:00	Jackal buzzard	1.00
1999/2/10 00:00:00	Klipspringer	108.00
1999/2/10 00:00:00	Kori burstard	1.00
1999/2/10 00:00:00	Kudu	233.00
1999/2/10 00:00:00	Mountain reedbuck	23.00
1999/2/10 00:00:00	Ostrich	63.00
1999/2/10 00:00:00	Plain zebra, Quagga	240.00
1999/2/10 00:00:00	Red hartebeest	303.00
1999/2/10 00:00:00	Springbok	1867.00
1999/2/10 00:00:00	Steenbok	60.00
2000/2/12 00:00:00	Baboon	6.00
2000/2/12 00:00:00	Black eagle	18.00
2000/2/12 00:00:00	Booted eagle	2.00
2000/2/12 00:00:00	Duiker	53.00
2000/2/12 00:00:00	Eland	141.00
2000/2/12 00:00:00	Fd	2.00
2000/2/12 00:00:00	Gemsbok	381.00
2000/2/12 00:00:00	Grey rhebok	151.00
2000/2/12 00:00:00	Jackal	4.00
2000/2/12 00:00:00	Jackal buzzard	1.00
2000/2/12 00:00:00	Klipspringer	284.00
2000/2/12 00:00:00	Kudu	396.00
2000/2/12 00:00:00	Mountain reedbuck	33.00
2000/2/12 00:00:00	Mountain zebra	299.00
2000/2/12 00:00:00	Ostrich	100.00
2000/2/12 00:00:00	Plain zebra, Quagga	16.00
2000/2/12 00:00:00	Porcupine	2.00
2000/2/12 00:00:00	Red hartebeest	482.00
