SURVEY	YEAR	MONTH	DATE	SITE	BLOCK	TREATMENT	PLOT	REBAR	NIGHT	SPECIES	CAPTURE	SEX	CONDITION	AGE	LEFT_HIND_FOOT	LEFT_TAG	ORIGINAL_TAG	ID	MARKS	WEIGHT	notes
1	2009	May	13-May-09	CENTRAL	1	OPEN	C1OPEN	6F	1	Gero	C	f	N	A		x3346/x3270	x3346/x3270	1485	0	65	
1	2009	May	14-May-09	CENTRAL	1	OPEN	C1OPEN	2G	2	Gero	C	f	N	A		x3286/x3368	x3286/x3368	637	0	98	
1	2009	May	14-May-09	CENTRAL	1	OPEN	C1OPEN	7C	2	Gero	R					B1401/DL432	B1401/DL432	596	0		
1	2009	May	15-May-09	CENTRAL	1	OPEN	C1OPEN	4A	3	Gero	R					B1 401/DL43	B1401/DL432	596	0		
1	2009	May	15-May-09	CENTRAL	1	OPEN	C1OPEN	5F	3	Gero	R					x3346/x3270	x3346/x3270	1485	0		
1	2009	May	15-May-09	CENTRAL	1	OPEN	C1OPEN	6A	3	Gero	R					DL34/x3315	DL34/x3315	607	0		
1	2009	May	16-May-09	CENTRAL	1	OPEN	C1OPEN	3D	4	Gero	R					x3346/x3270	x3346/x3270	1485	0		
1	2009	May	16-May-09	CENTRAL	1	OPEN	C1OPEN	4D	4	UMus	C	m	S	A				794	1	4.7	
1	2009	May	16-May-09	CENTRAL	1	OPEN	C1OPEN	4D	4	UMus	C	m	S	A				793	1	4.5	
1	2009	May	13-May-09	CENTRAL	1	TOTAL	C1TOTAL	1B	1	Gero	C	m	S	A		B1401/DL432	B1401/DL432	596	0	84	
1	2009	May	13-May-09	CENTRAL	1	TOTAL	C1TOTAL	1E	1	Croc	C	f	N	A				402	1	8.5	
1	2009	May	13-May-09	CENTRAL	1	TOTAL	C1TOTAL	7A	1	Gero	C	f	N	J		B1 414/B1 413	B1 414/B1 413	532	0	66	Cold
1	2009	May	14-May-09	CENTRAL	1	TOTAL	C1TOTAL	3A	2	Acke	C	m	N	A		x3359/x3322	x3359/x3322	401	0	69	
1	2009	May	14-May-09	CENTRAL	1	TOTAL	C1TOTAL	3E	2	Gero	C	m	S	A		DL04/B1 469	DL04/B1 469	598	0	97	
1	2009	May	14-May-09	CENTRAL	1	TOTAL	C1TOTAL	5B	2	Gero	C	m	S	A		DL34/x3315	DL34/x3315	607	0	98	
1	2009	May	14-May-09	CENTRAL	1	TOTAL	C1TOTAL	7F	2	Gero	C	f	N	A				X	0		Last digit on right tag not clear
1	2009	May	15-May-09	CENTRAL	1	TOTAL	C1TOTAL	2E	3	Same	C	m	S	A		B1 462/B1 470	B1 462/B1 470	1332	0	49	
1	2009	May	15-May-09	CENTRAL	1	TOTAL	C1TOTAL	3A	3	UArvi	C	m	S	A		DL13/DL25	DL13/DL25	367	0	49	
1	2009	May	15-May-09	CENTRAL	1	TOTAL	C1TOTAL	6A	3	Gero	C	f	N	A		DL70/DL40	DL70/DL40	612	0	92	
1	2009	May	16-May-09	CENTRAL	1	TOTAL	C1TOTAL	1G	4	Same	C	m	S	A		DL95/B1 495	DL95/B1 495	1376	0	41	
1	2009	May	16-May-09	CENTRAL	1	TOTAL	C1TOTAL	2F	4	Aehi	C	m	S	A		DL81/DL20	DL81/DL20	310	0	130	
1	2009	May	16-May-09	CENTRAL	1	TOTAL	C1TOTAL	2G	4	Same	C	m	S	A		B1 487/DL09	B1 487/DL09	1334	0	66	
