year,season,date,habitat,night,web,trap,recap,spp,sex,age,weight,repro,recond,incomplete,marked,dead,closed,newborn,keyfield,datasetid,POINT_X,POINT_Y,table_id,layer_id
1995,F,10/24/1995,JC,1,1,24,N,DIME,.,.,0,.,.,Y,U,.,.,.,JC124,DSL2006013,-106.7703776,32.51445782,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,48,N,DIME,F,A,40,N,.,.,.,.,.,.,JC148,DSL2006013,-106.7709199,32.51522844,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,58,N,DIME,F,A,41,N,.,.,.,.,.,.,JC158,DSL2006013,-106.7706093,32.51558115,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,72,N,DIME,F,A,37,N,.,.,.,.,.,.,JC172,DSL2006013,-106.7704212,32.51601782,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,88,N,PELE,F,A,22,N,.,.,.,.,.,.,JC188,DSL2006013,-106.7697594,32.51539297,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,107,N,DIME,F,A,41,N,.,.,.,.,.,.,JC1107,DSL2006013,-106.7690342,32.51567171,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,132,N,DIME,M,A,35,N,.,.,.,.,.,.,JC1132,DSL2006013,-106.7689238,32.51479838,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,133,N,DIME,M,A,44,N,.,.,.,.,.,.,JC1133,DSL2006013,-106.7698293,32.51520084,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,138,N,REME,M,A,12,N,.,.,.,.,.,.,JC1138,DSL2006013,-106.7696398,32.51492924,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,139,N,DIME,F,A,38,N,.,.,.,.,.,.,JC1139,DSL2006013,-106.7695823,32.51484645,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,1,143,N,DIME,M,A,37,N,.,.,.,.,.,.,JC1143,DSL2006013,-106.7693615,32.51455153,100-086-9.1,210-086-3.1
