year,season,date,habitat,night,web,trap,recap,spp,sex,age,weight,repro,recond,incomplete,marked,dead,closed,newborn,keyfield,datasetid,POINT_X,POINT_Y,table_id,layer_id
1995,F,10/24/1995,JC,1,2,4,N,NEAL,F,A,160,N,.,.,.,.,.,.,JC24,DSL2006013,-106.7728333,32.51581272,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,6,N,NEAL,F,A,178,N,.,.,.,.,.,.,JC26,DSL2006013,-106.7728255,32.51563323,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,12,N,ONAR,M,A,18,N,.,.,.,.,.,.,JC212,DSL2006013,-106.7728253,32.51508836,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,21,N,DIME,M,A,40,N,.,.,.,.,.,.,JC221,DSL2006013,-106.7732012,32.51544145,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,36,N,DIME,M,A,37,N,.,.,.,.,.,.,JC236,DSL2006013,-106.773726,32.51552044,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,42,N,DIME,F,A,46,N,.,.,.,.,.,.,JC242,DSL2006013,-106.7732536,32.51598725,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,48,N,DIME,F,A,38,N,.,.,.,.,.,.,JC248,DSL2006013,-106.7738978,32.5159795,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,58,N,DIME,F,A,42,N,.,.,.,.,.,.,JC258,DSL2006013,-106.7735602,32.51635494,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,59,N,DIME,F,A,40,N,.,.,.,.,.,.,JC259,DSL2006013,-106.7736588,32.51639753,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,60,N,NEAL,.,J,110,N,.,.,.,.,.,.,JC260,DSL2006013,-106.7737549,32.51644297,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,72,N,DIME,M,A,43,N,.,.,.,.,.,.,JC272,DSL2006013,-106.7733692,32.51677258,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,74,N,DIME,F,A,38,N,.,.,.,.,.,.,JC274,DSL2006013,-106.7728199,32.51608945,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,79,N,PELE,F,A,24,N,.,.,.,.,.,.,JC279,DSL2006013,-106.7728256,32.51645142,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,82,N,DIME,M,A,43,N,.,.,.,.,.,.,JC282,DSL2006013,-106.7728257,32.51671856,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,83,N,DIME,M,A,42,N,.,.,.,.,.,.,JC283,DSL2006013,-106.7728247,32.51680765,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,100,N,DIME,F,A,38,N,.,.,.,.,.,.,JC2100,DSL2006013,-106.7726326,32.51608443,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,132,N,DIME,M,A,43,N,.,.,.,.,.,.,JC2132,DSL2006013,-106.7718991,32.51553841,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,133,N,ONAR,F,A,0,N,.,Y,M,.,.,.,JC2133,DSL2006013,-106.772807,32.51595226,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,137,N,DIME,F,A,39,N,.,.,.,.,.,.,JC2137,DSL2006013,-106.7726642,32.51575872,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,2,144,N,DIME,M,A,46,N,.,.,.,.,.,.,JC2144,DSL2006013,-106.7722863,32.51522,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,10,N,NEAL,F,A,205,N,.,.,.,.,.,.,JC310,DSL2006013,-106.7782667,32.51450283,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,20,N,DIME,M,A,41,N,.,.,.,.,.,.,JC320,DSL2006013,-106.7785781,32.51475307,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,23,N,DIME,F,A,39,N,.,.,.,.,.,.,JC323,DSL2006013,-106.7787343,32.51451492,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,34,N,DIME,M,A,45,Y,S,.,.,.,.,.,JC334,DSL2006013,-106.779003,32.51486155,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,36,N,DIME,M,A,42,Y,PS,.,.,.,.,.,JC336,DSL2006013,-106.7791788,32.51476305,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,45,N,DIME,M,A,46,N,.,.,.,.,.,.,JC345,DSL2006013,-106.7790174,32.51522013,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,47,N,DIME,F,A,47,N,.,.,.,.,.,.,JC347,DSL2006013,-106.7792287,32.51521196,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,52,N,ONAR,M,A,18,N,.,.,.,.,.,.,JC352,DSL2006013,-106.7784632,32.51531296,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,59,N,DIME,M,A,37,N,.,.,.,.,.,.,JC359,DSL2006013,-106.7791098,32.51562381,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,70,N,DIME,.,.,0,.,.,Y,U,.,.,.,JC370,DSL2006013,-106.7787022,32.51584522,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,80,N,DIME,M,A,39,N,.,.,.,.,.,.,JC380,DSL2006013,-106.7782706,32.51576729,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,82,N,DIME,M,A,36,N,.,.,.,.,.,.,JC382,DSL2006013,-106.7782669,32.51594813,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,84,N,DIME,M,A,36,N,.,.,.,.,.,.,JC384,DSL2006013,-106.7782715,32.51613,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,87,N,ONAR,F,A,16,N,.,.,.,.,.,.,JC387,DSL2006013,-106.7782028,32.51534787,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,99,N,REME,F,A,11,N,.,.,.,.,.,.,JC399,DSL2006013,-106.7781412,32.51529598,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,100,N,DIME,M,A,38,N,.,.,.,.,.,.,JC3100,DSL2006013,-106.7780971,32.51531856,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,104,N,DIME,F,A,32,N,.,.,.,D,.,.,JC3104,DSL2006013,-106.7777295,32.51550248,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,107,N,DIME,M,A,46,N,.,.,.,.,.,.,JC3107,DSL2006013,-106.7774589,32.51564716,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,108,N,DIME,M,A,42,N,.,.,.,.,.,.,JC3108,DSL2006013,-106.7773637,32.51568668,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,114,N,PELE,F,A,30,Y,P,.,.,.,.,.,JC3114,DSL2006013,-106.7778506,32.51523382,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,119,N,DIME,M,A,41,N,.,.,.,.,.,.,JC3119,DSL2006013,-106.7773213,32.51523745,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,134,N,NEAL,M,A,202,N,.,.,.,.,.,.,JC3134,DSL2006013,-106.7782216,32.5151428,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,139,N,DIME,M,A,39,N,.,.,.,.,.,.,JC3139,DSL2006013,-106.7780012,32.51483195,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,140,N,DIME,M,A,42,N,.,.,.,.,.,.,JC3140,DSL2006013,-106.7779409,32.51475824,100-086-9.1,210-086-3.1
1995,F,10/24/1995,JC,1,3,144,N,DIME,M,A,46,N,.,.,.,.,.,.,JC3144,DSL2006013,-106.7777236,32.51445052,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,5,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC15,DSL2006013,-106.7698443,32.51497258,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,8,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC18,DSL2006013,-106.7698369,32.51469787,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,10,Y,NEAL,.,.,0,.,.,.,.,.,.,.,JC110,DSL2006013,-106.7698318,32.51452982,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,12,N,ONAR,F,A,17,N,.,.,.,.,.,.,JC112,DSL2006013,-106.7698293,32.51433399,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,33,N,DIME,M,A,38,N,.,.,.,.,.,.,JC133,DSL2006013,-106.7704958,32.5149314,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,42,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC142,DSL2006013,-106.7702836,32.5152422,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,43,N,CHPE,.,.,23,N,.,Y,M,D,.,.,JC143,DSL2006013,-106.7703873,32.51523774,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,44,Y,DIME,.,.,0,.,.,.,.,D,.,.,JC144,DSL2006013,-106.770492,32.5152427,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,45,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC145,DSL2006013,-106.770601,32.51523552,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,47,N,ONAR,F,A,18,N,.,.,.,.,.,.,JC147,DSL2006013,-106.7708129,32.51522652,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,49,Y,ONAR,.,.,0,.,.,.,.,.,.,.,JC149,DSL2006013,-106.7699047,32.51526706,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,49,Y,ONAR,.,.,0,.,.,.,.,.,.,.,JC149,DSL2006013,-106.7699047,32.51526706,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,55,N,NEAL,.,J,85,N,.,.,.,.,.,.,JC155,DSL2006013,-106.7703225,32.5154659,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,59,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC159,DSL2006013,-106.7706947,32.51563616,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,60,N,DIME,M,A,46,N,.,.,.,D,.,.,JC160,DSL2006013,-106.7707854,32.51567858,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,69,N,SIHI,.,.,0,.,.,Y,U,.,.,.,JC169,DSL2006013,-106.7702473,32.51578477,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,71,N,DIME,F,A,51,N,.,.,.,.,.,.,JC171,DSL2006013,-106.7703691,32.51593842,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,72,N,DIME,F,A,34,N,.,.,.,.,.,.,JC172,DSL2006013,-106.7704212,32.51601782,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,81,N,DIME,M,A,39,N,.,.,.,.,.,.,JC181,DSL2006013,-106.769886,32.51587997,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,90,N,ONAR,F,A,17,N,.,.,.,.,.,.,JC190,DSL2006013,-106.7696517,32.5155537,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,94,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC194,DSL2006013,-106.7694418,32.51587731,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,105,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC1105,DSL2006013,-106.7692166,32.51557655,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,108,N,NEAL,M,A,145,N,.,.,.,.,.,.,JC1108,DSL2006013,-106.7689428,32.51572019,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,140,N,DIME,F,A,44,N,.,.,.,.,.,.,JC1140,DSL2006013,-106.7695299,32.5147662,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,1,143,N,PELE,.,A,27,N,.,Y,M,.,.,.,JC1143,DSL2006013,-106.7693615,32.51455153,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,4,Y,NEAL,.,.,0,.,.,.,.,.,.,.,JC24,DSL2006013,-106.7728333,32.51581272,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,9,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC29,DSL2006013,-106.7728223,32.51536671,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,11,N,DIME,F,A,41,N,.,.,.,.,.,.,JC211,DSL2006013,-106.7728206,32.51518239,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,26,N,PELE,M,A,18,N,.,.,.,.,.,.,JC226,DSL2006013,-106.7729214,32.5159424,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,36,N,ONAR,M,A,19,N,.,.,.,.,.,.,JC236,DSL2006013,-106.773726,32.51552044,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,36,Y,ONAR,.,.,0,.,.,.,.,.,.,.,JC236,DSL2006013,-106.773726,32.51552044,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,42,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC242,DSL2006013,-106.7732536,32.51598725,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,45,N,DIME,F,A,39,N,.,.,.,.,.,.,JC245,DSL2006013,-106.7735807,32.51596496,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,47,N,DIME,F,A,44,N,.,.,.,.,.,.,JC247,DSL2006013,-106.7737894,32.51597245,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,48,N,SPSP,M,A,102,N,.,.,.,D,.,.,JC248,DSL2006013,-106.7738978,32.5159795,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,55,N,ONAR,F,A,20,N,.,.,.,.,.,.,JC255,DSL2006013,-106.7732847,32.5162236,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,58,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC258,DSL2006013,-106.7735602,32.51635494,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,59,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC259,DSL2006013,-106.7736588,32.51639753,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,60,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC260,DSL2006013,-106.7737549,32.51644297,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,68,N,PGFL,M,A,10,N,.,.,.,.,.,.,JC268,DSL2006013,-106.7731517,32.51645906,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,70,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC270,DSL2006013,-106.7732603,32.51661453,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,71,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC271,DSL2006013,-106.7733161,32.51669083,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,79,Y,PELE,.,.,0,.,.,.,.,.,.,.,JC279,DSL2006013,-106.7728256,32.51645142,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,83,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC283,DSL2006013,-106.7728247,32.51680765,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,98,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC298,DSL2006013,-106.7727265,32.51603983,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,99,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC299,DSL2006013,-106.7726808,32.51606188,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,100,Y,ONAR,.,.,0,.,.,.,.,.,.,.,JC2100,DSL2006013,-106.7726326,32.51608443,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,101,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC2101,DSL2006013,-106.772543,32.51613116,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,104,N,REME,.,.,0,.,.,Y,U,.,.,.,JC2104,DSL2006013,-106.7722668,32.51627197,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,107,N,PELE,M,A,22,Y,S,.,.,.,.,.,JC2107,DSL2006013,-106.7719943,32.51639903,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,130,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC2130,DSL2006013,-106.7720822,32.5156348,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,132,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC2132,DSL2006013,-106.7718991,32.51553841,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,2,142,N,REME,F,A,20,Y,P,.,.,.,.,.,JC2142,DSL2006013,-106.7723964,32.5153738,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,12,N,DIME,M,A,47,N,.,.,.,.,.,.,JC312,DSL2006013,-106.7782675,32.5143298,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,17,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC317,DSL2006013,-106.7784287,32.51498632,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,22,.,DIME,.,.,0,.,.,Y,U,.,.,.,JC322,DSL2006013,-106.7786838,32.51459244,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,48,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC348,DSL2006013,0,0,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,70,N,SPSP,F,A,68,N,.,.,.,D,.,.,JC370,DSL2006013,-106.7787022,32.51584522,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,93,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC393,DSL2006013,-106.7779148,32.51577801,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,105,N,DIME,F,A,44,N,.,.,.,.,.,.,JC3105,DSL2006013,-106.7776421,32.51555193,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,106,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC3106,DSL2006013,-106.7775506,32.51559268,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,113,Y,PELE,.,.,0,.,.,.,.,.,.,.,JC3113,DSL2006013,-106.7779582,32.51523202,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,126,N,ONAR,.,.,18,N,.,Y,M,.,.,.,JC3126,DSL2006013,-106.7779044,32.51505255,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,129,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC3129,DSL2006013,-106.7776274,32.51492219,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,131,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC3131,DSL2006013,-106.7774418,32.51483667,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,142,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC3142,DSL2006013,-106.7778334,32.51460393,100-086-9.1,210-086-3.1
1995,F,10/25/1995,JC,2,3,143,N,NEAL,.,J,120,N,.,.,.,.,.,.,JC3143,DSL2006013,-106.7777791,32.5145286,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,6,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC16,DSL2006013,-106.769838,32.51487412,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,7,N,NEAL,F,A,155,N,.,.,.,.,.,.,JC17,DSL2006013,-106.7698424,32.51478636,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,12,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC112,DSL2006013,-106.7698293,32.51433399,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,18,N,NEAL,F,A,0,N,.,Y,M,D,8,.,JC118,DSL2006013,-106.7700636,32.51491592,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,19,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC119,DSL2006013,-106.7701145,32.51484135,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,20,Y,DIME,.,.,0,.,.,.,.,D,.,.,JC120,DSL2006013,-106.7701629,32.51475812,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,21,N,DIME,.,A,36,N,.,Y,M,.,.,.,JC121,DSL2006013,-106.7702176,32.51468246,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,22,Y,DIME,.,.,0,.,.,.,.,D,.,.,JC122,DSL2006013,-106.7702711,32.5146045,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,34,N,NEAL,.,J,80,N,.,.,.,.,.,.,JC134,DSL2006013,-106.7705745,32.51487522,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,39,N,DIME,M,A,43,N,.,.,.,.,.,.,JC139,DSL2006013,-106.7700171,32.51524797,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,41,N,DIME,F,A,39,N,.,.,.,.,.,.,JC141,DSL2006013,-106.770177,32.515244,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,42,N,DIME,F,A,36,N,.,.,.,.,.,.,JC142,DSL2006013,-106.7702836,32.5152422,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,44,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC144,DSL2006013,-106.770492,32.5152427,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,47,N,DIME,.,J,33,N,.,.,.,.,.,.,JC147,DSL2006013,-106.7708129,32.51522652,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,57,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC157,DSL2006013,-106.7705017,32.51554912,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,58,N,NEAL,.,J,130,N,.,.,.,.,.,.,JC158,DSL2006013,-106.7706093,32.51558115,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,59,N,DIME,.,.,0,.,.,Y,U,.,.,.,JC159,DSL2006013,-106.7706947,32.51563616,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,64,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC164,DSL2006013,-106.7699736,32.51541054,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,66,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC166,DSL2006013,-106.770084,32.51555342,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,71,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC171,DSL2006013,-106.7703691,32.51593842,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,83,N,NEAL,.,J,80,N,.,.,.,.,.,.,JC183,DSL2006013,-106.7698855,32.51606671,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,90,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC190,DSL2006013,-106.7696517,32.5155537,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,94,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC194,DSL2006013,-106.7694418,32.51587731,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,95,Y,DIME,.,.,0,.,.,.,.,D,.,.,JC195,DSL2006013,-106.7693949,32.51595505,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,96,N,DIME,M,A,40,N,.,.,.,.,.,.,JC196,DSL2006013,-106.7693447,32.51603344,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,105,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC1105,DSL2006013,-106.7692166,32.51557655,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,107,N,NEAL,F,A,215,N,.,.,.,.,.,.,JC1107,DSL2006013,-106.7690342,32.51567171,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,117,N,DIME,F,A,38,N,.,.,.,.,.,.,JC1117,DSL2006013,-106.7691172,32.51525485,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,118,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC1118,DSL2006013,-106.7690157,32.51524794,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,120,N,NEAL,M,A,198,N,.,.,.,.,.,.,JC1120,DSL2006013,-106.7687908,32.5152503,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,126,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC1126,DSL2006013,-106.7694843,32.5150654,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,132,Y,DIME,.,.,0,.,.,.,.,.,.,.,JC1132,DSL2006013,-106.7689238,32.51479838,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,134,Y,NEAL,.,.,0,.,.,.,.,.,.,.,JC1134,DSL2006013,-106.7698042,32.51516427,100-086-9.1,210-086-3.1
1995,F,10/26/1995,JC,3,1,144,Y,NEAL,.,.,0,.,.,.,.,.,.,.,JC1144,DSL2006013,-106.7693081,32.51446657,100-086-9.1,210-086-3.1
